codigo,nombre,capitulo,escala,frecuencia
F032.IMC.V12.Z.Z.2018.Z.Z.0.M,Imacec,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.Z.Z.1.M,Imacec,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.PB.Z.1.M,Producción de bienes,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.03.Z.1.M,Minería,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.04.Z.1.M,Industria,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.RB.Z.1.M,Resto de bienes,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.COM.Z.1.M,Comercio,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.SERV.Z.1.M,Servicios,Cuentas Nacionales,nacional,M
F032.ICF.IND.Z.Z.EP18.Z.Z.1.M,Imacec a costo de factores,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.IMP.Z.1.M,Impuestos sobre los productos,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.N03.Z.1.M,Imacec no minero,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.PB.Z.3.M,Producción de bienes,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.03.Z.3.M,Minería,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.04.Z.3.M,Industria,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.RB.Z.3.M,Resto de bienes,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.COM.Z.3.M,Comercio,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.SERV.Z.3.M,Servicios,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.IMP.Z.3.M,Impuestos sobre los productos,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.N03.Z.3.M,Imacec no minero,Cuentas Nacionales,nacional,M
F032.IMC.VAR.Z.Z.2018.Z.Z.3.M,Imacec,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.01.Z.0.M,Agropecuario-silvícola,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.02.04.0.M,Pesca,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.03.Z.0.M,Minería,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.03.05.0.M,Minería del cobre,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.03.06.0.M,Otras actividades mineras,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.Z.0.M,Industria Manufacturera,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.28.0.M,Alimentos,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.29.0.M,Bebidas y tabaco,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.08.0.M,"Textil, prendas de vestir, cuero y calzado",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.09.0.M,Maderas y muebles,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.10.0.M,"Celulosa, papel e imprentas",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.EP18.04.11.0.M,"Química, petróleo, caucho y plástico",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.12.0.M,Minerales no metálicos y metálica básica,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.14.0.M,"Productos metálicos, maquinaria, equipos y otros",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.05.Z.0.M,"Electricidad, gas, agua y gestión de desechos",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.06.Z.0.M,Construcción,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.07.32.0.M,Comercio,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.07.33.0.M,Restaurantes y hoteles,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.08.19.0.M,Transporte,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.08.20.0.M,Comunicaciones y servicios de información,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.09.34.0.M,Servicios financieros,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.09.35.0.M,Servicios empresariales,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.10.Z.0.M,Servicios de vivienda e inmobiliarios,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.11.Z.0.M,Servicios personales,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.12.Z.0.M,Administración pública,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.16.Z.0.M,PIB a costo de factores,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.1415.Z.0.M,Impuestos sobre los productos,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.Z.Z.0.M,PIB,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.01.Z.1.M,Agropecuario-silvícola,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.02.04.1.M,Pesca,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.03.Z.1.M,Minería,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.03.05.1.M,Minería del cobre,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.03.06.1.M,Otras actividades mineras,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.Z.1.M,Industria Manufacturera,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.28.1.M,Alimentos,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.29.1.M,Bebidas y tabaco,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.08.1.M,"Textil, prendas de vestir, cuero y calzado",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.09.1.M,Maderas y muebles,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.10.1.M,"Celulosa, papel e imprentas",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.EP18.04.11.1.M,"Química, petróleo, caucho y plástico",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.12.1.M,Minerales no metálicos y metálica básica,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.04.14.1.M,"Productos metálicos, maquinaria, equipos y otros",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.05.Z.1.M,"Electricidad, gas, agua y gestión de desechos",Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.06.Z.1.M,Construcción,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.07.32.1.M,Comercio,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.07.33.1.M,Restaurantes y hoteles,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.08.19.1.M,Transporte,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.08.20.1.M,Comunicaciones y servicios de información,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.09.34.1.M,Servicios financieros,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.09.35.1.M,Servicios empresariales,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.10.Z.1.M,Servicios de vivienda e inmobiliarios,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.11.Z.1.M,Servicios personales,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.12.Z.1.M,Administración pública,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.16.Z.1.M,PIB a costo de factores,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.1415.Z.1.M,Impuestos sobre los productos,Cuentas Nacionales,nacional,M
F032.PIB.FLU.R.CLP.2018.Z.Z.1.M,PIB,Cuentas Nacionales,nacional,M
F032.PIB.FLU.N.CLP.EP18.Z.Z.0.T,PIB a precios corrientes,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.Z.Z.0.T,PIB volumen a precios del año anterior encadenado,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.Z.Z.1.T,PIB volumen a precios del año anterior encadenado (desestacionalizado),Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.01.Z.0.T,Agropecuario-silvícola,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.02.04.0.T,Pesca,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.03.Z.0.T,Minería,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.03.05.0.T,Minería del cobre,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.03.06.0.T,Otras actividades mineras,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.Z.0.T,Industria manufacturera,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.07.0.T,"Alimentos, bebidas y tabaco",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.04.28.0.T,Alimentos,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.04.29.0.T,Bebidas y tabaco,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.08.0.T,"Textil, prendas de vestir, cuero y calzado",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.09.0.T,Maderas y muebles,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.10.0.T,"Celulosa, papel e imprentas",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.11.0.T,"Química, petróleo, caucho y plástico",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.12.0.T,Minerales no metálicos y metálica básica,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.14.0.T,"Productos metálicos, maquinaria, equipos y otros",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.05.Z.0.T,"Electricidad, gas, agua y gestión de desechos",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.06.Z.0.T,Construcción,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.07.Z.0.T,"Comercio, restaurantes y hoteles",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.07.32.0.T,Comercio,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.07.33.0.T,Restaurantes y hoteles,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.08.19.0.T,Transporte,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.08.20.0.T,Comunicaciones y servicios de información,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.09.21.0.T,Servicios financieros y empresariales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.09.34.0.T,Servicios financieros,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.09.35.0.T,Servicios empresariales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.10.Z.0.T,Servicios de vivienda e inmobiliarios,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.11.Z.0.T,Servicios personales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.12.Z.0.T,Administración pública,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.16.Z.0.T,PIB a costo de factores,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.1415.Z.0.T,Impuestos sobre los productos,Cuentas Nacionales,nacional,T
F032.PIB.RPA.N.Z.EP18.01.Z.0.A,Agropecuario-silvícola,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.02.04.0.A,Pesca,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.03.Z.0.A,Minería,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.03.05.0.A,Minería del cobre,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.03.06.0.A,Otras actividades mineras,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.04.Z.0.A,Industria Manufacturera,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.04.07.0.A,"Alimentos, bebidas y tabaco",Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.2018.04.28.0.A,Alimentos,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.2018.04.29.0.A,Bebidas y tabaco,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.04.08.0.A,"Textil, prendas de vestir, cuero y calzado",Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.04.09.0.A,Maderas y muebles,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.04.10.0.A,"Celulosa, papel e imprentas",Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.04.11.0.A,"Química, petróleo, caucho y plástico",Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.04.12.0.A,Minerales no metálicos y metálica básica,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.04.14.0.A,"Productos metálicos, maquinaria, equipos y otros",Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.05.Z.0.A,"Electricidad, gas, agua y gestión de desechos",Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.06.Z.0.A,Construcción,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.07.Z.0.A,"Comercio, restaurantes y hoteles",Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.2018.07.32.0.A,Comercio,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.2018.07.33.0.A,Restaurantes y hoteles,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.08.19.0.A,Transporte,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.08.20.0.A,Comunicaciones y servicios de información,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.09.21.0.A,Servicios financieros y empresariales,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.2018.09.34.0.A,Servicios financieros,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.2018.09.35.0.A,Servicios empresariales,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.10.Z.0.A,Servicios de vivienda e inmobiliarios,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.11.Z.0.A,Servicios personales,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.12.Z.0.A,Administración pública,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.1415.Z.0.A,Impuestos sobre los productos,Cuentas Nacionales,nacional,A
F032.PIB.RPA.N.Z.EP18.Z.Z.0.A,Producto Interno Bruto,Cuentas Nacionales,nacional,A
F032.PIB.FLU.N.CLP.EP18.01.Z.1.T,Agropecuario-silvícola,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.02.04.1.T,Pesca,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.03.Z.1.T,Minería,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.03.05.1.T,Minería del cobre,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.03.06.1.T,Otras actividades mineras,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.Z.1.T,Industria manufacturera,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.07.1.T,"Alimentos, bebidas y tabaco",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.04.28.1.T,Alimentos,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.04.29.1.T,Bebidas y tabaco,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.08.1.T,"Textil, prendas de vestir, cuero y calzado",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.09.1.T,Maderas y muebles,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.10.1.T,"Celulosa, papel e imprentas",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.11.1.T,"Química, petróleo, caucho y plástico",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.12.1.T,Minerales no metálicos y metálica básica,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.04.14.1.T,"Productos metálicos, maquinaria, equipos y otros",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.05.Z.1.T,"Electricidad, gas, agua y gestión de desechos",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.06.Z.1.T,Construcción,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.07.Z.1.T,"Comercio, restaurantes y hoteles",Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.07.32.1.T,Comercio,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.07.33.1.T,Restaurantes y hoteles,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.08.19.1.T,Transporte,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.08.20.1.T,Comunicaciones y servicios de información,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.09.21.1.T,Servicios financieros y empresariales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.09.34.1.T,Servicios financieros,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.09.35.1.T,Servicios empresariales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.10.Z.1.T,Servicios de vivienda e inmobiliarios,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.11.Z.1.T,Servicios personales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.12.Z.1.T,Administración pública,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.2018.16.Z.1.T,PIB a costo de factores,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.1415.Z.1.T,Impuestos sobre los productos,Cuentas Nacionales,nacional,T
F032.PIB.FLU.N.CLP.EP18.Z.Z.1.T,Producto interno bruto,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.01.Z.0.T,Agropecuario-silvícola,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.02.04.0.T,Pesca,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.03.Z.0.T,Minería,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.03.05.0.T,Minería del cobre,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.03.06.0.T,Otras actividades mineras,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.04.Z.0.T,Industria Manufacturera,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.04.07.0.T,"Alimentos, bebidas y tabaco",Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.2018.04.28.0.T,Alimentos,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.2018.04.29.0.T,Bebidas y tabaco,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.04.08.0.T,"Textil, prendas de vestir, cuero y calzado",Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.04.09.0.T,Maderas y muebles,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.04.10.0.T,"Celulosa, papel e imprentas",Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.04.11.0.T,"Química, petróleo, caucho y plástico",Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.04.12.0.T,Minerales no metálicos y metálica básica,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.04.14.0.T,"Productos metálicos, maquinaria, equipos y otros",Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.05.Z.0.T,"Electricidad, gas, agua y gestión de desechos",Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.06.Z.0.T,Construcción,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.07.Z.0.T,"Comercio, restaurantes y hoteles",Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.2018.07.32.0.T,Comercio,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.2018.07.33.0.T,Restaurantes y hoteles,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.08.19.0.T,Transporte,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.08.20.0.T,Comunicaciones y servicios de información,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.09.21.0.T,Servicios financieros y empresariales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.2018.09.34.0.T,Servicios financieros,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.2018.09.35.0.T,Servicios empresariales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.10.Z.0.T,Servicios de vivienda e inmobiliarios,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.11.Z.0.T,Servicios personales,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.12.Z.0.T,Administración pública,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.2018.16.Z.0.T,PIB a costo de factores,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.1415.Z.0.T,Impuestos sobre los productos,Cuentas Nacionales,nacional,T
F032.PIB.FLU.R.CLP.EP18.N03.Z.0.T,PIB no minero,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.01.Z.0.T,Agropecuario-silvícola,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.02.04.0.T,Pesca,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.03.Z.0.T,Minería,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.03.05.0.T,Minería del cobre,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.03.06.0.T,Otras actividades mineras,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.04.Z.0.T,Industria Manufacturera,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.04.28.0.T,Alimentos,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.04.29.0.T,Bebidas y tabaco,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.04.08.0.T,"Textil, prendas de vestir, cuero y calzado",Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.04.09.0.T,Maderas y muebles,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.04.10.0.T,"Celulosa, papel e imprentas",Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.EP18.04.11.0.T,"Química, petróleo, caucho y plástico",Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.04.12.0.T,Minerales no metálicos y metálica básica,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.04.14.0.T,"Productos metálicos, maquinaria, equipos y otros",Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.05.Z.0.T,"Electricidad, gas, agua y gestión de desechos",Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.06.Z.0.T,Construcción,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.07.32.0.T,Comercio,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.07.33.0.T,Restaurantes y hoteles,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.08.19.0.T,Transporte,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.08.20.0.T,Comunicaciones y servicios de información,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.09.34.0.T,Servicios financieros,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.09.35.0.T,Servicios empresariales,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.10.Z.0.T,Servicios de vivienda e inmobiliarios,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.11.Z.0.T,Servicios personales,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.12.Z.0.T,Administración pública,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.1415.Z.0.T,Impuestos sobre los productos,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.Z.Z.0.T,PIB,Cuentas Nacionales,nacional,T
F032.PIB.V12.R.Z.2018.01.Z.0.A,Agropecuario-silvícola,Cuentas Nacionales,nacional,A
