codigo,nombre,capitulo,escala,frecuencia
F032.IMC.IND.Z.Z.EP18.Z.Z.0.M,Imacec,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.PB.Z.0.M,Producción de bienes,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.03.Z.0.M,Minería,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.04.Z.0.M,Industria,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.RB.Z.0.M,Resto de bienes,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.COM.Z.0.M,Comercio,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.SERV.Z.0.M,Servicios,Cuentas Nacionales,nacional,M
F032.ICF.IND.Z.Z.EP18.Z.Z.0.M,Imacec a costo de factores,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.IMP.Z.0.M,Impuestos sobre los productos,Cuentas Nacionales,nacional,M
F032.IMC.IND.Z.Z.EP18.N03.Z.0.M,Imacec no minero,Cuentas Nacionales,nacional,M
F032.IMC.V12.Z.Z.2018.PB.Z.0.M,Producción de bienes,Cuentas Nacionales,nacional,M
F032.IMC.V12.Z.Z.2018.03.Z.0.M,Minería,Cuentas Nacionales,nacional,M
F032.IMC.V12.Z.Z.2018.04.Z.0.M,Industria,Cuentas Nacionales,nacional,M
F032.IMC.V12.Z.Z.2018.RB.Z.0.M,Resto de bienes,Cuentas Nacionales,nacional,M
F032.IMC.V12.Z.Z.2018.COM.Z.0.M,Comercio,Cuentas Nacionales,nacional,M
F032.IMC.V12.Z.Z.2018.SERV.Z.0.M,Servicios,Cuentas Nacionales,nacional,M
F032.IMC.V12.Z.Z.2018.IMP.Z.0.M,Impuestos sobre los productos,Cuentas Nacionales,nacional,M
F032.IMC.V12.Z.Z.2018.N03.Z.0.M,Imacec no minero,Cuentas Nacionales,nacional,M
