date,region_code,region_name,value,population,gdp_pc,indicator,frequency,unit
2013-01-01,01,Tarapaca,3967.4239498735,314818.0,12602277.982432706,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2014-01-01,01,Tarapaca,4030.4587212027,321678.0,12529482.032351296,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2015-01-01,01,Tarapaca,4029.1105184017,328417.0,12268276.363287224,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2016-01-01,01,Tarapaca,3922.6666942889,334865.0,11714173.455837129,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2017-01-01,01,Tarapaca,4081.4667034831,342129.0,11929613.401620734,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2018-01-01,01,Tarapaca,4353.4571481925,354940.0,12265332.586331494,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2019-01-01,01,Tarapaca,4571.2431387479,368906.0,12391349.391844807,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2020-01-01,01,Tarapaca,4391.4038781722,382773.0,11472606.16128149,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2021-01-01,01,Tarapaca,4792.6209795363,391165.0,12252172.304619022,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2022-01-01,01,Tarapaca,4853.7374528873,396697.0,12235377.259942222,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2023-01-01,01,Tarapaca,5018.0807807036,401588.0,12495594.441824954,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2024-01-01,01,Tarapaca,5180.8114564615,406287.0,12751605.28508542,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2025-01-01,01,Tarapaca,4748.2501398496,410903.0,11555647.293520855,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2013-01-01,02,Antofagasta,15364.781346955,586685.0,26189149.794105865,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2014-01-01,02,Antofagasta,16059.820923395,596155.0,26939002.312141977,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2015-01-01,02,Antofagasta,16064.202578499,604877.0,26557800.310640015,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2016-01-01,02,Antofagasta,15342.429477302,613640.0,25002329.504761748,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2017-01-01,02,Antofagasta,14876.921891357,623851.0,23846915.195065808,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2018-01-01,02,Antofagasta,15974.159226819,645022.0,24765293.628463835,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2019-01-01,02,Antofagasta,15965.601087421,668563.0,23880473.623908293,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2020-01-01,02,Antofagasta,15689.154476207,691854.0,22676972.997492246,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2021-01-01,02,Antofagasta,15537.045824155,703746.0,22077632.873444397,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2022-01-01,02,Antofagasta,15464.050929015,709637.0,21791494.706469648,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2023-01-01,02,Antofagasta,16107.341623394,714142.0,22554816.30179152,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2024-01-01,02,Antofagasta,17618.376013869,718232.0,24530201.959630035,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2025-01-01,02,Antofagasta,17893.252605947,722120.0,24778779.989402037,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2013-01-01,03,Atacama,3591.0075914013,294709.0,12184926.796946479,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2014-01-01,03,Atacama,3737.2684836429,297546.0,12560304.90627634,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2015-01-01,03,Atacama,3652.5345964621,300065.0,12172477.951317549,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2016-01-01,03,Atacama,3793.9232857096,302402.0,12545959.63555003,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2017-01-01,03,Atacama,3760.3218016285,304580.0,12345924.885509554,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2018-01-01,03,Atacama,3671.4404112653,307835.0,11926650.35251125,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2019-01-01,03,Atacama,3512.6710035869,311307.0,11283623.572829714,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2020-01-01,03,Atacama,3525.1735231453,314709.0,11201374.994503811,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2021-01-01,03,Atacama,3945.5772654744,316737.0,12456950.92608189,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2022-01-01,03,Atacama,3964.4100456812,318004.0,12466541.445017044,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2023-01-01,03,Atacama,4016.9525524973,319048.0,12590433.265518982,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2024-01-01,03,Atacama,4140.4562906077,319992.0,12939249.389383797,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2025-01-01,03,Atacama,4772.878049346,320864.0,14875081.185006732,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2013-01-01,04,Coquimbo,5578.9473451914,743026.0,7508414.705799528,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2014-01-01,04,Coquimbo,5369.5224924097,755432.0,7107883.293810297,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2015-01-01,04,Coquimbo,5379.402329281,768087.0,7003636.735527355,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2016-01-01,04,Coquimbo,5439.4193314778,780310.0,6970844.063869232,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2017-01-01,04,Coquimbo,5560.005531774,793049.0,7010923.072564242,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2018-01-01,04,Coquimbo,5876.7882769249,807213.0,7280343.945061465,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2019-01-01,04,Coquimbo,5954.871819579,821726.0,7246785.205261852,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2020-01-01,04,Coquimbo,5656.3127003719,836096.0,6765147.423707207,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2021-01-01,04,Coquimbo,6162.1490222829,848079.0,7266008.2637147,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2022-01-01,04,Coquimbo,6103.2778111314,858769.0,7107007.601731549,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2023-01-01,04,Coquimbo,6317.6595585939,869103.0,7269172.420983359,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2024-01-01,04,Coquimbo,6376.4680868953,879267.0,7252027.071293816,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2025-01-01,04,Coquimbo,6537.2075250932,889273.0,7351181.836278848,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2013-01-01,05,Valparaiso,13646.166543177,1805775.0,7556958.3935855795,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2014-01-01,05,Valparaiso,13325.711368695,1824842.0,7302391.861155651,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2015-01-01,05,Valparaiso,13327.552701965,1844609.0,7225136.981314197,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2016-01-01,05,Valparaiso,13730.022533461,1864129.0,7365382.188389859,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2017-01-01,05,Valparaiso,13936.421698588,1885948.0,7389610.794458808,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2018-01-01,05,Valparaiso,13988.67786317,1910385.0,7322439.122569534,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2019-01-01,05,Valparaiso,13945.984047231,1935455.0,7205532.573596906,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2020-01-01,05,Valparaiso,13080.514277247,1960170.0,6673152.980224675,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2021-01-01,05,Valparaiso,14402.684846981,1979373.0,7276387.445408723,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2022-01-01,05,Valparaiso,15250.20526045,1995538.0,7642152.271943706,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2023-01-01,05,Valparaiso,15221.652317879,2010849.0,7569763.974261121,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2024-01-01,05,Valparaiso,15531.268596791,2025693.0,7667138.4048772445,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2025-01-01,05,Valparaiso,15994.022110206,2040166.0,7839568.99105563,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2013-01-01,06,OHiggins,6899.1960503915,912070.0,7564327.354689333,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2014-01-01,06,OHiggins,7062.5303332258,921886.0,7660958.440876421,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2015-01-01,06,OHiggins,7462.6700081078,931982.0,8007311.308703172,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2016-01-01,06,OHiggins,7615.4639288585,942520.0,8079896.37234064,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2017-01-01,06,OHiggins,7509.5595913308,954279.0,7869354.341163118,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2018-01-01,06,OHiggins,7939.6111665388,966486.0,8214926.203316757,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2019-01-01,06,OHiggins,7890.5692896622,978868.0,8060912.492452711,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2020-01-01,06,OHiggins,7596.202381859,991063.0,7664701.822042595,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
2021-01-01,06,OHiggins,8316.3038079391,1000959.0,8308336.113606152,PIB_Real_Regional,Annual,Miles_de_millones_pesos_encadenados_2018
