anio,indicador,unidad,valor,unidad_original,dimension,agregacion
1995,tpm,%,6.11625,%,tasa,promedio
1996,tpm,%,7.284166666666667,%,tasa,promedio
1997,tpm,%,6.8741666666666665,%,tasa,promedio
1998,tpm,%,9.008452380952384,%,tasa,promedio
1999,tpm,%,5.866264880952381,%,tasa,promedio
2000,tpm,%,5.2562660769182505,%,tasa,promedio
2001,tpm,%,5.066893939393939,%,tasa,promedio
2001,tpm_expectativa_11m,%,7.125,%,tasa,promedio
2001,tpm_expectativa_23m,%,7.5,%,tasa,promedio
2001,tpm_expectativa_siguiente,%,6.5,%,tasa,promedio
2002,tasa_hipotecaria,%,6.4925,%,tasa,promedio
2002,tpm,%,4.0525,%,tasa,promedio
2002,tpm_expectativa_11m,%,4.6066666666666665,%,tasa,promedio
2002,tpm_expectativa_23m,%,5.5008333333333335,%,tasa,promedio
2002,tpm_expectativa_siguiente,%,4.104166666666667,%,tasa,promedio
2003,deuda_hipotecaria_ingreso,%,17.8711,% del ingreso disponible,tasa,promedio
2003,deuda_hipotecaria_pib,%,11.734525,% del PIB,tasa,promedio
2003,tasa_hipotecaria,%,5.11,%,tasa,promedio
2003,tpm,%,2.7308333333333334,%,tasa,promedio
2003,tpm_expectativa_11m,%,3.4275,%,tasa,promedio
2003,tpm_expectativa_23m,%,4.416363636363636,%,tasa,promedio
2003,tpm_expectativa_siguiente,%,2.7708333333333335,%,tasa,promedio
2004,deuda_hipotecaria_ingreso,%,19.093425,% del ingreso disponible,tasa,promedio
2004,deuda_hipotecaria_pib,%,12.25505,% del PIB,tasa,promedio
2004,tasa_hipotecaria,%,3.8874999999999997,%,tasa,promedio
2004,tpm,%,1.8716666666666668,%,tasa,promedio
2004,tpm_expectativa_11m,%,2.7866666666666666,%,tasa,promedio
2004,tpm_expectativa_23m,%,3.7608333333333337,%,tasa,promedio
2004,tpm_expectativa_siguiente,%,1.9166666666666667,%,tasa,promedio
