anio,region_id,region_display,indicador,medida,unidad,valor,unidad_original,dimension,agregacion
2022,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,38151.666666666664,número de cuentas de personas naturales,conteo,total
2023,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,42157.166666666664,número de cuentas de personas naturales,conteo,total
2024,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,50592.5,número de cuentas de personas naturales,conteo,total
2025,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,57375.416666666664,número de cuentas de personas naturales,conteo,total
2018,16,Ñuble,cuentas_corrientes,stock,unidades,46457.0,número de cuentas de personas naturales,conteo,total
2019,16,Ñuble,cuentas_corrientes,stock,unidades,49328.5,número de cuentas de personas naturales,conteo,total
2020,16,Ñuble,cuentas_corrientes,stock,unidades,52237.916666666664,número de cuentas de personas naturales,conteo,total
2021,16,Ñuble,cuentas_corrientes,stock,unidades,55264.833333333336,número de cuentas de personas naturales,conteo,total
2022,16,Ñuble,cuentas_corrientes,stock,unidades,55460.083333333336,número de cuentas de personas naturales,conteo,total
2023,16,Ñuble,cuentas_corrientes,stock,unidades,59623.083333333336,número de cuentas de personas naturales,conteo,total
2024,16,Ñuble,cuentas_corrientes,stock,unidades,64120.833333333336,número de cuentas de personas naturales,conteo,total
2025,16,Ñuble,cuentas_corrientes,stock,unidades,66507.83333333333,número de cuentas de personas naturales,conteo,total
2009,01,Tarapacá,depositos_vista,stock,pesos,7454859774.0,millones de pesos nominales,dinero,total
2010,01,Tarapacá,depositos_vista,stock,pesos,10569740869.083334,millones de pesos nominales,dinero,total
2011,01,Tarapacá,depositos_vista,stock,pesos,13200668475.833334,millones de pesos nominales,dinero,total
2012,01,Tarapacá,depositos_vista,stock,pesos,16594221428.666668,millones de pesos nominales,dinero,total
2013,01,Tarapacá,depositos_vista,stock,pesos,20320141123.583332,millones de pesos nominales,dinero,total
2014,01,Tarapacá,depositos_vista,stock,pesos,24715133718.5,millones de pesos nominales,dinero,total
2015,01,Tarapacá,depositos_vista,stock,pesos,29265460199.499996,millones de pesos nominales,dinero,total
2016,01,Tarapacá,depositos_vista,stock,pesos,33009945870.999996,millones de pesos nominales,dinero,total
2017,01,Tarapacá,depositos_vista,stock,pesos,36806213964.0,millones de pesos nominales,dinero,total
2018,01,Tarapacá,depositos_vista,stock,pesos,44855771556.666664,millones de pesos nominales,dinero,total
2019,01,Tarapacá,depositos_vista,stock,pesos,56018535589.75001,millones de pesos nominales,dinero,total
2020,01,Tarapacá,depositos_vista,stock,pesos,111572958487.66666,millones de pesos nominales,dinero,total
2021,01,Tarapacá,depositos_vista,stock,pesos,190758696346.4167,millones de pesos nominales,dinero,total
2022,01,Tarapacá,depositos_vista,stock,pesos,137818893092.83334,millones de pesos nominales,dinero,total
2023,01,Tarapacá,depositos_vista,stock,pesos,115843789309.66667,millones de pesos nominales,dinero,total
2024,01,Tarapacá,depositos_vista,stock,pesos,116048822548.99998,millones de pesos nominales,dinero,total
2025,01,Tarapacá,depositos_vista,stock,pesos,119094551028.58333,millones de pesos nominales,dinero,total
2009,02,Antofagasta,depositos_vista,stock,pesos,19358401101.416668,millones de pesos nominales,dinero,total
2010,02,Antofagasta,depositos_vista,stock,pesos,26797795253.916668,millones de pesos nominales,dinero,total
2011,02,Antofagasta,depositos_vista,stock,pesos,32043749812.166668,millones de pesos nominales,dinero,total
2012,02,Antofagasta,depositos_vista,stock,pesos,41871624185.666664,millones de pesos nominales,dinero,total
2013,02,Antofagasta,depositos_vista,stock,pesos,53949343629.083336,millones de pesos nominales,dinero,total
2014,02,Antofagasta,depositos_vista,stock,pesos,60647264604.833336,millones de pesos nominales,dinero,total
2015,02,Antofagasta,depositos_vista,stock,pesos,69413052279.5,millones de pesos nominales,dinero,total
2016,02,Antofagasta,depositos_vista,stock,pesos,76125169252.75,millones de pesos nominales,dinero,total
2017,02,Antofagasta,depositos_vista,stock,pesos,85504747101.75,millones de pesos nominales,dinero,total
2018,02,Antofagasta,depositos_vista,stock,pesos,101942087107.08334,millones de pesos nominales,dinero,total
2019,02,Antofagasta,depositos_vista,stock,pesos,123728368963.75,millones de pesos nominales,dinero,total
2020,02,Antofagasta,depositos_vista,stock,pesos,237817185905.83334,millones de pesos nominales,dinero,total
2021,02,Antofagasta,depositos_vista,stock,pesos,405786254246.5834,millones de pesos nominales,dinero,total
2022,02,Antofagasta,depositos_vista,stock,pesos,304372351683.3333,millones de pesos nominales,dinero,total
2023,02,Antofagasta,depositos_vista,stock,pesos,245833103815.75,millones de pesos nominales,dinero,total
2024,02,Antofagasta,depositos_vista,stock,pesos,250890852876.0,millones de pesos nominales,dinero,total
2025,02,Antofagasta,depositos_vista,stock,pesos,264992977018.1667,millones de pesos nominales,dinero,total
2009,03,Atacama,depositos_vista,stock,pesos,6976725472.166666,millones de pesos nominales,dinero,total
2010,03,Atacama,depositos_vista,stock,pesos,9997970295.916666,millones de pesos nominales,dinero,total
2011,03,Atacama,depositos_vista,stock,pesos,12212621927.833332,millones de pesos nominales,dinero,total
2012,03,Atacama,depositos_vista,stock,pesos,16927387278.75,millones de pesos nominales,dinero,total
2013,03,Atacama,depositos_vista,stock,pesos,21020001218.916668,millones de pesos nominales,dinero,total
2014,03,Atacama,depositos_vista,stock,pesos,24062106096.833332,millones de pesos nominales,dinero,total
2015,03,Atacama,depositos_vista,stock,pesos,29528207093.333336,millones de pesos nominales,dinero,total
2016,03,Atacama,depositos_vista,stock,pesos,31139196742.750004,millones de pesos nominales,dinero,total
2017,03,Atacama,depositos_vista,stock,pesos,36706238757.583336,millones de pesos nominales,dinero,total
2018,03,Atacama,depositos_vista,stock,pesos,43806463915.83333,millones de pesos nominales,dinero,total
2019,03,Atacama,depositos_vista,stock,pesos,51910563612.66667,millones de pesos nominales,dinero,total
2020,03,Atacama,depositos_vista,stock,pesos,102169714489.83333,millones de pesos nominales,dinero,total
2021,03,Atacama,depositos_vista,stock,pesos,179332050347.08334,millones de pesos nominales,dinero,total
2022,03,Atacama,depositos_vista,stock,pesos,137124847399.58334,millones de pesos nominales,dinero,total
2023,03,Atacama,depositos_vista,stock,pesos,113204394717.58333,millones de pesos nominales,dinero,total
2024,03,Atacama,depositos_vista,stock,pesos,113458958981.91666,millones de pesos nominales,dinero,total
2025,03,Atacama,depositos_vista,stock,pesos,114502054282.08334,millones de pesos nominales,dinero,total
2009,04,Coquimbo,depositos_vista,stock,pesos,13516918929.916666,millones de pesos nominales,dinero,total
2010,04,Coquimbo,depositos_vista,stock,pesos,18933836452.083336,millones de pesos nominales,dinero,total
2011,04,Coquimbo,depositos_vista,stock,pesos,23591443593.416668,millones de pesos nominales,dinero,total
2012,04,Coquimbo,depositos_vista,stock,pesos,32045279472.083332,millones de pesos nominales,dinero,total
2013,04,Coquimbo,depositos_vista,stock,pesos,40358876711.833336,millones de pesos nominales,dinero,total
2014,04,Coquimbo,depositos_vista,stock,pesos,47519422093.083336,millones de pesos nominales,dinero,total
2015,04,Coquimbo,depositos_vista,stock,pesos,57028446822.33333,millones de pesos nominales,dinero,total
2016,04,Coquimbo,depositos_vista,stock,pesos,67807689327.666664,millones de pesos nominales,dinero,total
2017,04,Coquimbo,depositos_vista,stock,pesos,79235585810.75002,millones de pesos nominales,dinero,total
2018,04,Coquimbo,depositos_vista,stock,pesos,96922311337.75,millones de pesos nominales,dinero,total
2019,04,Coquimbo,depositos_vista,stock,pesos,117616850560.75,millones de pesos nominales,dinero,total
2020,04,Coquimbo,depositos_vista,stock,pesos,224812024332.83334,millones de pesos nominales,dinero,total
2021,04,Coquimbo,depositos_vista,stock,pesos,391104489725.5833,millones de pesos nominales,dinero,total
2022,04,Coquimbo,depositos_vista,stock,pesos,298451596847.4167,millones de pesos nominales,dinero,total
2023,04,Coquimbo,depositos_vista,stock,pesos,245958585063.0,millones de pesos nominales,dinero,total
2024,04,Coquimbo,depositos_vista,stock,pesos,246160756339.75,millones de pesos nominales,dinero,total
2025,04,Coquimbo,depositos_vista,stock,pesos,255357331302.41666,millones de pesos nominales,dinero,total
2009,05,Valparaíso,depositos_vista,stock,pesos,36309314862.41667,millones de pesos nominales,dinero,total
2010,05,Valparaíso,depositos_vista,stock,pesos,49690283260.33333,millones de pesos nominales,dinero,total
2011,05,Valparaíso,depositos_vista,stock,pesos,58918078612.833336,millones de pesos nominales,dinero,total
2012,05,Valparaíso,depositos_vista,stock,pesos,74828537683.58333,millones de pesos nominales,dinero,total
2013,05,Valparaíso,depositos_vista,stock,pesos,93952246615.41666,millones de pesos nominales,dinero,total
2014,05,Valparaíso,depositos_vista,stock,pesos,115271919209.83333,millones de pesos nominales,dinero,total
2015,05,Valparaíso,depositos_vista,stock,pesos,138018865821.5,millones de pesos nominales,dinero,total
2016,05,Valparaíso,depositos_vista,stock,pesos,163640602231.5833,millones de pesos nominales,dinero,total
2017,05,Valparaíso,depositos_vista,stock,pesos,203657371942.5833,millones de pesos nominales,dinero,total
2018,05,Valparaíso,depositos_vista,stock,pesos,253723531724.91666,millones de pesos nominales,dinero,total
2019,05,Valparaíso,depositos_vista,stock,pesos,300329774357.0833,millones de pesos nominales,dinero,total
2020,05,Valparaíso,depositos_vista,stock,pesos,553343338076.1667,millones de pesos nominales,dinero,total
2021,05,Valparaíso,depositos_vista,stock,pesos,945217847450.0833,millones de pesos nominales,dinero,total
2022,05,Valparaíso,depositos_vista,stock,pesos,697499655376.3334,millones de pesos nominales,dinero,total
2023,05,Valparaíso,depositos_vista,stock,pesos,565998862724.0,millones de pesos nominales,dinero,total
2024,05,Valparaíso,depositos_vista,stock,pesos,573385652164.3334,millones de pesos nominales,dinero,total
2025,05,Valparaíso,depositos_vista,stock,pesos,582268515171.8334,millones de pesos nominales,dinero,total
2009,06,O'Higgins,depositos_vista,stock,pesos,14391281106.166668,millones de pesos nominales,dinero,total
2010,06,O'Higgins,depositos_vista,stock,pesos,20275160217.0,millones de pesos nominales,dinero,total
2011,06,O'Higgins,depositos_vista,stock,pesos,25917722830.75,millones de pesos nominales,dinero,total
2012,06,O'Higgins,depositos_vista,stock,pesos,30866764365.666664,millones de pesos nominales,dinero,total
2013,06,O'Higgins,depositos_vista,stock,pesos,39907460146.74999,millones de pesos nominales,dinero,total
2014,06,O'Higgins,depositos_vista,stock,pesos,51837490632.58333,millones de pesos nominales,dinero,total
2015,06,O'Higgins,depositos_vista,stock,pesos,62155824127.41667,millones de pesos nominales,dinero,total
2016,06,O'Higgins,depositos_vista,stock,pesos,74333749380.75,millones de pesos nominales,dinero,total
2017,06,O'Higgins,depositos_vista,stock,pesos,91060483655.66666,millones de pesos nominales,dinero,total
2018,06,O'Higgins,depositos_vista,stock,pesos,119413941312.16667,millones de pesos nominales,dinero,total
2019,06,O'Higgins,depositos_vista,stock,pesos,143846960495.91666,millones de pesos nominales,dinero,total
2020,06,O'Higgins,depositos_vista,stock,pesos,276400409256.3333,millones de pesos nominales,dinero,total
2021,06,O'Higgins,depositos_vista,stock,pesos,499470515218.6667,millones de pesos nominales,dinero,total
2022,06,O'Higgins,depositos_vista,stock,pesos,374785141275.1667,millones de pesos nominales,dinero,total
2023,06,O'Higgins,depositos_vista,stock,pesos,302137249585.3333,millones de pesos nominales,dinero,total
2024,06,O'Higgins,depositos_vista,stock,pesos,308262589320.0833,millones de pesos nominales,dinero,total
2025,06,O'Higgins,depositos_vista,stock,pesos,319802005435.5834,millones de pesos nominales,dinero,total
2009,07,Maule,depositos_vista,stock,pesos,12294439319.583332,millones de pesos nominales,dinero,total
2010,07,Maule,depositos_vista,stock,pesos,19048047943.916668,millones de pesos nominales,dinero,total
2011,07,Maule,depositos_vista,stock,pesos,21698840836.5,millones de pesos nominales,dinero,total
2012,07,Maule,depositos_vista,stock,pesos,27774871597.999996,millones de pesos nominales,dinero,total
2013,07,Maule,depositos_vista,stock,pesos,36041039006.166664,millones de pesos nominales,dinero,total
2014,07,Maule,depositos_vista,stock,pesos,45378469339.666664,millones de pesos nominales,dinero,total
2015,07,Maule,depositos_vista,stock,pesos,57665322239.41667,millones de pesos nominales,dinero,total
2016,07,Maule,depositos_vista,stock,pesos,73554397444.08334,millones de pesos nominales,dinero,total
2017,07,Maule,depositos_vista,stock,pesos,91554145611.66667,millones de pesos nominales,dinero,total
2018,07,Maule,depositos_vista,stock,pesos,116391796281.25,millones de pesos nominales,dinero,total
2019,07,Maule,depositos_vista,stock,pesos,141927640627.16666,millones de pesos nominales,dinero,total
2020,07,Maule,depositos_vista,stock,pesos,276764680877.4167,millones de pesos nominales,dinero,total
2021,07,Maule,depositos_vista,stock,pesos,502828099195.1667,millones de pesos nominales,dinero,total
2022,07,Maule,depositos_vista,stock,pesos,371075993091.41675,millones de pesos nominales,dinero,total
2023,07,Maule,depositos_vista,stock,pesos,301066367982.6666,millones de pesos nominales,dinero,total
2024,07,Maule,depositos_vista,stock,pesos,311208998801.6667,millones de pesos nominales,dinero,total
2025,07,Maule,depositos_vista,stock,pesos,324030667881.1667,millones de pesos nominales,dinero,total
2009,08,Biobío,depositos_vista,stock,pesos,31823290260.833336,millones de pesos nominales,dinero,total
2010,08,Biobío,depositos_vista,stock,pesos,48464975222.75001,millones de pesos nominales,dinero,total
2011,08,Biobío,depositos_vista,stock,pesos,55328227821.0,millones de pesos nominales,dinero,total
2012,08,Biobío,depositos_vista,stock,pesos,67887562852.33334,millones de pesos nominales,dinero,total
2013,08,Biobío,depositos_vista,stock,pesos,86080939750.66667,millones de pesos nominales,dinero,total
2014,08,Biobío,depositos_vista,stock,pesos,106657569015.75,millones de pesos nominales,dinero,total
2015,08,Biobío,depositos_vista,stock,pesos,129602088091.25,millones de pesos nominales,dinero,total
2016,08,Biobío,depositos_vista,stock,pesos,159433624846.16666,millones de pesos nominales,dinero,total
2017,08,Biobío,depositos_vista,stock,pesos,193346189791.5,millones de pesos nominales,dinero,total
2018,08,Biobío,depositos_vista,stock,pesos,226712947567.49997,millones de pesos nominales,dinero,total
2019,08,Biobío,depositos_vista,stock,pesos,232989805793.5,millones de pesos nominales,dinero,total
2020,08,Biobío,depositos_vista,stock,pesos,454792471797.1667,millones de pesos nominales,dinero,total
2021,08,Biobío,depositos_vista,stock,pesos,819294309333.8334,millones de pesos nominales,dinero,total
2022,08,Biobío,depositos_vista,stock,pesos,610408243906.25,millones de pesos nominales,dinero,total
2023,08,Biobío,depositos_vista,stock,pesos,491364450539.08325,millones de pesos nominales,dinero,total
2024,08,Biobío,depositos_vista,stock,pesos,483677260859.5833,millones de pesos nominales,dinero,total
2025,08,Biobío,depositos_vista,stock,pesos,488435922403.5,millones de pesos nominales,dinero,total
2009,09,La Araucanía,depositos_vista,stock,pesos,14081867257.750002,millones de pesos nominales,dinero,total
2010,09,La Araucanía,depositos_vista,stock,pesos,20276197508.5,millones de pesos nominales,dinero,total
2011,09,La Araucanía,depositos_vista,stock,pesos,24019658750.333332,millones de pesos nominales,dinero,total
2012,09,La Araucanía,depositos_vista,stock,pesos,30004693933.666664,millones de pesos nominales,dinero,total
2013,09,La Araucanía,depositos_vista,stock,pesos,38224654992.083336,millones de pesos nominales,dinero,total
2014,09,La Araucanía,depositos_vista,stock,pesos,48406026491.25,millones de pesos nominales,dinero,total
2015,09,La Araucanía,depositos_vista,stock,pesos,61784639823.416664,millones de pesos nominales,dinero,total
2016,09,La Araucanía,depositos_vista,stock,pesos,76376351474.25,millones de pesos nominales,dinero,total
2017,09,La Araucanía,depositos_vista,stock,pesos,89845414028.33333,millones de pesos nominales,dinero,total
2018,09,La Araucanía,depositos_vista,stock,pesos,108245354251.08333,millones de pesos nominales,dinero,total
2019,09,La Araucanía,depositos_vista,stock,pesos,128950095499.08334,millones de pesos nominales,dinero,total
2020,09,La Araucanía,depositos_vista,stock,pesos,248780321974.25,millones de pesos nominales,dinero,total
2021,09,La Araucanía,depositos_vista,stock,pesos,439901382841.6667,millones de pesos nominales,dinero,total
2022,09,La Araucanía,depositos_vista,stock,pesos,332476732900.9167,millones de pesos nominales,dinero,total
2023,09,La Araucanía,depositos_vista,stock,pesos,266343557497.1667,millones de pesos nominales,dinero,total
2024,09,La Araucanía,depositos_vista,stock,pesos,266244062282.9167,millones de pesos nominales,dinero,total
2025,09,La Araucanía,depositos_vista,stock,pesos,273127046277.00003,millones de pesos nominales,dinero,total
2009,10,Los Lagos,depositos_vista,stock,pesos,16353611639.083334,millones de pesos nominales,dinero,total
2010,10,Los Lagos,depositos_vista,stock,pesos,20327509030.416668,millones de pesos nominales,dinero,total
2011,10,Los Lagos,depositos_vista,stock,pesos,24608803954.0,millones de pesos nominales,dinero,total
2012,10,Los Lagos,depositos_vista,stock,pesos,31712648998.166668,millones de pesos nominales,dinero,total
2013,10,Los Lagos,depositos_vista,stock,pesos,39353740470.25,millones de pesos nominales,dinero,total
2014,10,Los Lagos,depositos_vista,stock,pesos,49820846011.75,millones de pesos nominales,dinero,total
2015,10,Los Lagos,depositos_vista,stock,pesos,61478134025.75001,millones de pesos nominales,dinero,total
2016,10,Los Lagos,depositos_vista,stock,pesos,73835853232.75,millones de pesos nominales,dinero,total
2017,10,Los Lagos,depositos_vista,stock,pesos,88165119498.83333,millones de pesos nominales,dinero,total
2018,10,Los Lagos,depositos_vista,stock,pesos,108486997108.08333,millones de pesos nominales,dinero,total
2019,10,Los Lagos,depositos_vista,stock,pesos,130007072548.16666,millones de pesos nominales,dinero,total
2020,10,Los Lagos,depositos_vista,stock,pesos,253203489331.00003,millones de pesos nominales,dinero,total
2021,10,Los Lagos,depositos_vista,stock,pesos,440525042348.75,millones de pesos nominales,dinero,total
2022,10,Los Lagos,depositos_vista,stock,pesos,344069122541.6667,millones de pesos nominales,dinero,total
2023,10,Los Lagos,depositos_vista,stock,pesos,284025594136.75006,millones de pesos nominales,dinero,total
2024,10,Los Lagos,depositos_vista,stock,pesos,281390350752.75,millones de pesos nominales,dinero,total
2025,10,Los Lagos,depositos_vista,stock,pesos,290421248480.4167,millones de pesos nominales,dinero,total
2009,11,Aysén,depositos_vista,stock,pesos,2851824421.333333,millones de pesos nominales,dinero,total
2010,11,Aysén,depositos_vista,stock,pesos,3672815779.1666665,millones de pesos nominales,dinero,total
2011,11,Aysén,depositos_vista,stock,pesos,4329258281.916666,millones de pesos nominales,dinero,total
2012,11,Aysén,depositos_vista,stock,pesos,5334582952.666667,millones de pesos nominales,dinero,total
2013,11,Aysén,depositos_vista,stock,pesos,6465944843.416667,millones de pesos nominales,dinero,total
2014,11,Aysén,depositos_vista,stock,pesos,8019336068.416666,millones de pesos nominales,dinero,total
2015,11,Aysén,depositos_vista,stock,pesos,10184265944.916666,millones de pesos nominales,dinero,total
2016,11,Aysén,depositos_vista,stock,pesos,12216630387.333332,millones de pesos nominales,dinero,total
2017,11,Aysén,depositos_vista,stock,pesos,13856483631.333334,millones de pesos nominales,dinero,total
2018,11,Aysén,depositos_vista,stock,pesos,15974524609.666666,millones de pesos nominales,dinero,total
2019,11,Aysén,depositos_vista,stock,pesos,18419436810.916664,millones de pesos nominales,dinero,total
2020,11,Aysén,depositos_vista,stock,pesos,33565347745.333332,millones de pesos nominales,dinero,total
2021,11,Aysén,depositos_vista,stock,pesos,57251418959.833336,millones de pesos nominales,dinero,total
2022,11,Aysén,depositos_vista,stock,pesos,45217267375.25,millones de pesos nominales,dinero,total
2023,11,Aysén,depositos_vista,stock,pesos,38783477782.416664,millones de pesos nominales,dinero,total
2024,11,Aysén,depositos_vista,stock,pesos,38685342612.25,millones de pesos nominales,dinero,total
2025,11,Aysén,depositos_vista,stock,pesos,41954396541.166664,millones de pesos nominales,dinero,total
2009,12,Magallanes,depositos_vista,stock,pesos,5015029804.0,millones de pesos nominales,dinero,total
2010,12,Magallanes,depositos_vista,stock,pesos,6602370419.25,millones de pesos nominales,dinero,total
2011,12,Magallanes,depositos_vista,stock,pesos,7757871117.916667,millones de pesos nominales,dinero,total
2012,12,Magallanes,depositos_vista,stock,pesos,9924891384.083334,millones de pesos nominales,dinero,total
2013,12,Magallanes,depositos_vista,stock,pesos,12379586581.833334,millones de pesos nominales,dinero,total
2014,12,Magallanes,depositos_vista,stock,pesos,15029827160.833332,millones de pesos nominales,dinero,total
2015,12,Magallanes,depositos_vista,stock,pesos,18411655626.0,millones de pesos nominales,dinero,total
2016,12,Magallanes,depositos_vista,stock,pesos,21807892587.166664,millones de pesos nominales,dinero,total
2017,12,Magallanes,depositos_vista,stock,pesos,25411291972.666668,millones de pesos nominales,dinero,total
2018,12,Magallanes,depositos_vista,stock,pesos,31480084044.666668,millones de pesos nominales,dinero,total
2019,12,Magallanes,depositos_vista,stock,pesos,35258058019.166664,millones de pesos nominales,dinero,total
2020,12,Magallanes,depositos_vista,stock,pesos,64389810970.416664,millones de pesos nominales,dinero,total
2021,12,Magallanes,depositos_vista,stock,pesos,105123533131.91666,millones de pesos nominales,dinero,total
2022,12,Magallanes,depositos_vista,stock,pesos,79287602390.83333,millones de pesos nominales,dinero,total
2023,12,Magallanes,depositos_vista,stock,pesos,66910858475.166664,millones de pesos nominales,dinero,total
2024,12,Magallanes,depositos_vista,stock,pesos,67555789728.833336,millones de pesos nominales,dinero,total
2025,12,Magallanes,depositos_vista,stock,pesos,69833068374.16667,millones de pesos nominales,dinero,total
2009,13,Metropolitana de Santiago,depositos_vista,stock,pesos,271436461545.3333,millones de pesos nominales,dinero,total
2010,13,Metropolitana de Santiago,depositos_vista,stock,pesos,359897639150.8333,millones de pesos nominales,dinero,total
2011,13,Metropolitana de Santiago,depositos_vista,stock,pesos,420825388465.6667,millones de pesos nominales,dinero,total
2012,13,Metropolitana de Santiago,depositos_vista,stock,pesos,530405893267.6667,millones de pesos nominales,dinero,total
2013,13,Metropolitana de Santiago,depositos_vista,stock,pesos,649445698817.6666,millones de pesos nominales,dinero,total
2014,13,Metropolitana de Santiago,depositos_vista,stock,pesos,778305958507.5834,millones de pesos nominales,dinero,total
2015,13,Metropolitana de Santiago,depositos_vista,stock,pesos,921801976263.9166,millones de pesos nominales,dinero,total
2016,13,Metropolitana de Santiago,depositos_vista,stock,pesos,1077043266737.6666,millones de pesos nominales,dinero,total
2017,13,Metropolitana de Santiago,depositos_vista,stock,pesos,1267341180647.5,millones de pesos nominales,dinero,total
2018,13,Metropolitana de Santiago,depositos_vista,stock,pesos,1560724986583.75,millones de pesos nominales,dinero,total
2019,13,Metropolitana de Santiago,depositos_vista,stock,pesos,1800274878353.1667,millones de pesos nominales,dinero,total
2020,13,Metropolitana de Santiago,depositos_vista,stock,pesos,3332760649670.916,millones de pesos nominales,dinero,total
2021,13,Metropolitana de Santiago,depositos_vista,stock,pesos,5883819825867.5,millones de pesos nominales,dinero,total
2022,13,Metropolitana de Santiago,depositos_vista,stock,pesos,4616650515137.75,millones de pesos nominales,dinero,total
2023,13,Metropolitana de Santiago,depositos_vista,stock,pesos,3761001417718.083,millones de pesos nominales,dinero,total
2024,13,Metropolitana de Santiago,depositos_vista,stock,pesos,3875699414821.1665,millones de pesos nominales,dinero,total
2025,13,Metropolitana de Santiago,depositos_vista,stock,pesos,4166861545217.4995,millones de pesos nominales,dinero,total
2009,14,Los Ríos,depositos_vista,stock,pesos,6327672583.0,millones de pesos nominales,dinero,total
2010,14,Los Ríos,depositos_vista,stock,pesos,8629388096.666668,millones de pesos nominales,dinero,total
2011,14,Los Ríos,depositos_vista,stock,pesos,10022652262.916666,millones de pesos nominales,dinero,total
2012,14,Los Ríos,depositos_vista,stock,pesos,12766851296.166666,millones de pesos nominales,dinero,total
2013,14,Los Ríos,depositos_vista,stock,pesos,15861567430.166666,millones de pesos nominales,dinero,total
2014,14,Los Ríos,depositos_vista,stock,pesos,19793922266.833336,millones de pesos nominales,dinero,total
2015,14,Los Ríos,depositos_vista,stock,pesos,24584273419.916668,millones de pesos nominales,dinero,total
2016,14,Los Ríos,depositos_vista,stock,pesos,30158851355.916664,millones de pesos nominales,dinero,total
2017,14,Los Ríos,depositos_vista,stock,pesos,35598772840.583336,millones de pesos nominales,dinero,total
2018,14,Los Ríos,depositos_vista,stock,pesos,44608403971.083336,millones de pesos nominales,dinero,total
2019,14,Los Ríos,depositos_vista,stock,pesos,54635255067.58333,millones de pesos nominales,dinero,total
2020,14,Los Ríos,depositos_vista,stock,pesos,101157391248.58333,millones de pesos nominales,dinero,total
2021,14,Los Ríos,depositos_vista,stock,pesos,176347552903.0,millones de pesos nominales,dinero,total
2022,14,Los Ríos,depositos_vista,stock,pesos,134640870980.24998,millones de pesos nominales,dinero,total
2023,14,Los Ríos,depositos_vista,stock,pesos,108227810651.25002,millones de pesos nominales,dinero,total
2024,14,Los Ríos,depositos_vista,stock,pesos,106709907746.91669,millones de pesos nominales,dinero,total
2025,14,Los Ríos,depositos_vista,stock,pesos,112544681308.58334,millones de pesos nominales,dinero,total
2009,15,Arica y Parinacota,depositos_vista,stock,pesos,4443638607.583333,millones de pesos nominales,dinero,total
2010,15,Arica y Parinacota,depositos_vista,stock,pesos,6282901199.749999,millones de pesos nominales,dinero,total
2011,15,Arica y Parinacota,depositos_vista,stock,pesos,7642567826.416666,millones de pesos nominales,dinero,total
2012,15,Arica y Parinacota,depositos_vista,stock,pesos,9782211353.333334,millones de pesos nominales,dinero,total
2013,15,Arica y Parinacota,depositos_vista,stock,pesos,12252051628.5,millones de pesos nominales,dinero,total
2014,15,Arica y Parinacota,depositos_vista,stock,pesos,14832277608.916668,millones de pesos nominales,dinero,total
2015,15,Arica y Parinacota,depositos_vista,stock,pesos,18353435960.583336,millones de pesos nominales,dinero,total
2016,15,Arica y Parinacota,depositos_vista,stock,pesos,22405542808.916668,millones de pesos nominales,dinero,total
2017,15,Arica y Parinacota,depositos_vista,stock,pesos,26691010595.083336,millones de pesos nominales,dinero,total
2018,15,Arica y Parinacota,depositos_vista,stock,pesos,32568124943.916668,millones de pesos nominales,dinero,total
2019,15,Arica y Parinacota,depositos_vista,stock,pesos,39381775906.833336,millones de pesos nominales,dinero,total
2020,15,Arica y Parinacota,depositos_vista,stock,pesos,75955760650.66666,millones de pesos nominales,dinero,total
2021,15,Arica y Parinacota,depositos_vista,stock,pesos,129930822237.33334,millones de pesos nominales,dinero,total
2022,15,Arica y Parinacota,depositos_vista,stock,pesos,104207118067.33334,millones de pesos nominales,dinero,total
2023,15,Arica y Parinacota,depositos_vista,stock,pesos,86943736028.41667,millones de pesos nominales,dinero,total
2024,15,Arica y Parinacota,depositos_vista,stock,pesos,85349381759.91667,millones de pesos nominales,dinero,total
2025,15,Arica y Parinacota,depositos_vista,stock,pesos,86955780202.41666,millones de pesos nominales,dinero,total
2018,16,Ñuble,depositos_vista,stock,pesos,53292956427.0,millones de pesos nominales,dinero,total
2019,16,Ñuble,depositos_vista,stock,pesos,62158094694.0,millones de pesos nominales,dinero,total
2020,16,Ñuble,depositos_vista,stock,pesos,121572262607.16666,millones de pesos nominales,dinero,total
2021,16,Ñuble,depositos_vista,stock,pesos,221270656441.75,millones de pesos nominales,dinero,total
2022,16,Ñuble,depositos_vista,stock,pesos,172080599112.66666,millones de pesos nominales,dinero,total
2023,16,Ñuble,depositos_vista,stock,pesos,141463891075.0833,millones de pesos nominales,dinero,total
2024,16,Ñuble,depositos_vista,stock,pesos,141174438017.83334,millones de pesos nominales,dinero,total
2025,16,Ñuble,depositos_vista,stock,pesos,144878178999.5833,millones de pesos nominales,dinero,total
2009,01,Tarapacá,mora_comercial,tasa,%,2.5323295211904093,% de la cartera comercial,tasa,promedio
2010,01,Tarapacá,mora_comercial,tasa,%,2.1837368221801277,% de la cartera comercial,tasa,promedio
2011,01,Tarapacá,mora_comercial,tasa,%,2.0586424587650343,% de la cartera comercial,tasa,promedio
2012,01,Tarapacá,mora_comercial,tasa,%,1.6825289229692484,% de la cartera comercial,tasa,promedio
