anio,region_id,region_display,indicador,unidad,eje_espacial,valor,indice_base100,unidad_original,dimension,agregacion
2020,03,Atacama,empresas_constituidas,unidades,False,1616.0,188.34498834498834,unidades,conteo,total
2021,03,Atacama,empresas_constituidas,unidades,False,2108.0,245.6876456876457,unidades,conteo,total
2022,03,Atacama,empresas_constituidas,unidades,False,1768.0,206.06060606060606,unidades,conteo,total
2023,03,Atacama,empresas_constituidas,unidades,False,1882.0,219.34731934731934,unidades,conteo,total
2024,03,Atacama,empresas_constituidas,unidades,False,1934.0,225.4079254079254,unidades,conteo,total
2025,03,Atacama,empresas_constituidas,unidades,False,2544.0,296.5034965034965,unidades,conteo,total
2014,04,Coquimbo,empresas_constituidas,unidades,False,2139.0,100.0,unidades,conteo,total
2015,04,Coquimbo,empresas_constituidas,unidades,False,2460.0,115.0070126227209,unidades,conteo,total
2016,04,Coquimbo,empresas_constituidas,unidades,False,3129.0,146.28330995792427,unidades,conteo,total
2017,04,Coquimbo,empresas_constituidas,unidades,False,3550.0,165.9654043945769,unidades,conteo,total
2018,04,Coquimbo,empresas_constituidas,unidades,False,4039.0,188.82655446470312,unidades,conteo,total
2019,04,Coquimbo,empresas_constituidas,unidades,False,4413.0,206.31136044880785,unidades,conteo,total
2020,04,Coquimbo,empresas_constituidas,unidades,False,5149.0,240.71996259934548,unidades,conteo,total
2021,04,Coquimbo,empresas_constituidas,unidades,False,6951.0,324.9649368863955,unidades,conteo,total
2022,04,Coquimbo,empresas_constituidas,unidades,False,5673.0,265.2173913043478,unidades,conteo,total
2023,04,Coquimbo,empresas_constituidas,unidades,False,5956.0,278.44787283777464,unidades,conteo,total
2024,04,Coquimbo,empresas_constituidas,unidades,False,6653.0,311.0331930808789,unidades,conteo,total
2025,04,Coquimbo,empresas_constituidas,unidades,False,8010.0,374.47405329593266,unidades,conteo,total
2014,05,Valparaíso,empresas_constituidas,unidades,False,5252.0,100.0,unidades,conteo,total
2015,05,Valparaíso,empresas_constituidas,unidades,False,6540.0,124.52399086062452,unidades,conteo,total
2016,05,Valparaíso,empresas_constituidas,unidades,False,7641.0,145.4874333587205,unidades,conteo,total
2017,05,Valparaíso,empresas_constituidas,unidades,False,8591.0,163.57578065498856,unidades,conteo,total
2018,05,Valparaíso,empresas_constituidas,unidades,False,10204.0,194.2878903274943,unidades,conteo,total
2019,05,Valparaíso,empresas_constituidas,unidades,False,11026.0,209.93907083015995,unidades,conteo,total
2020,05,Valparaíso,empresas_constituidas,unidades,False,13296.0,253.16070068545315,unidades,conteo,total
2021,05,Valparaíso,empresas_constituidas,unidades,False,17716.0,337.3191165270373,unidades,conteo,total
2022,05,Valparaíso,empresas_constituidas,unidades,False,14680.0,279.51256664127953,unidades,conteo,total
2023,05,Valparaíso,empresas_constituidas,unidades,False,14531.0,276.6755521706017,unidades,conteo,total
2024,05,Valparaíso,empresas_constituidas,unidades,False,16491.0,313.994668697639,unidades,conteo,total
2025,05,Valparaíso,empresas_constituidas,unidades,False,20400.0,388.4234577303884,unidades,conteo,total
2014,06,O'Higgins,empresas_constituidas,unidades,False,2142.0,100.0,unidades,conteo,total
2015,06,O'Higgins,empresas_constituidas,unidades,False,2733.0,127.59103641456582,unidades,conteo,total
2016,06,O'Higgins,empresas_constituidas,unidades,False,3521.0,164.37908496732027,unidades,conteo,total
2017,06,O'Higgins,empresas_constituidas,unidades,False,4512.0,210.64425770308122,unidades,conteo,total
2018,06,O'Higgins,empresas_constituidas,unidades,False,4871.0,227.40429505135387,unidades,conteo,total
2019,06,O'Higgins,empresas_constituidas,unidades,False,4968.0,231.9327731092437,unidades,conteo,total
2020,06,O'Higgins,empresas_constituidas,unidades,False,6173.0,288.1886087768441,unidades,conteo,total
2021,06,O'Higgins,empresas_constituidas,unidades,False,8413.0,392.7637721755369,unidades,conteo,total
2022,06,O'Higgins,empresas_constituidas,unidades,False,7190.0,335.66760037348274,unidades,conteo,total
2023,06,O'Higgins,empresas_constituidas,unidades,False,7163.0,334.40709617180204,unidades,conteo,total
2024,06,O'Higgins,empresas_constituidas,unidades,False,8379.0,391.1764705882353,unidades,conteo,total
2025,06,O'Higgins,empresas_constituidas,unidades,False,10314.0,481.5126050420168,unidades,conteo,total
2014,07,Maule,empresas_constituidas,unidades,False,2026.0,100.0,unidades,conteo,total
2015,07,Maule,empresas_constituidas,unidades,False,2610.0,128.8252714708786,unidades,conteo,total
2016,07,Maule,empresas_constituidas,unidades,False,3412.0,168.4106614017769,unidades,conteo,total
2017,07,Maule,empresas_constituidas,unidades,False,4036.0,199.2102665350444,unidades,conteo,total
2018,07,Maule,empresas_constituidas,unidades,False,4713.0,232.6258637709773,unidades,conteo,total
2019,07,Maule,empresas_constituidas,unidades,False,5434.0,268.213228035538,unidades,conteo,total
2020,07,Maule,empresas_constituidas,unidades,False,6751.0,333.21816386969397,unidades,conteo,total
2021,07,Maule,empresas_constituidas,unidades,False,9279.0,457.9960513326752,unidades,conteo,total
2022,07,Maule,empresas_constituidas,unidades,False,8052.0,397.4333662388944,unidades,conteo,total
2023,07,Maule,empresas_constituidas,unidades,False,7875.0,388.6969397828233,unidades,conteo,total
2024,07,Maule,empresas_constituidas,unidades,False,9283.0,458.1934846989141,unidades,conteo,total
2025,07,Maule,empresas_constituidas,unidades,False,11317.0,558.5883514313919,unidades,conteo,total
2014,08,Biobío,empresas_constituidas,unidades,False,4343.0,100.0,unidades,conteo,total
2015,08,Biobío,empresas_constituidas,unidades,False,5646.0,130.002302555837,unidades,conteo,total
2016,08,Biobío,empresas_constituidas,unidades,False,6641.0,152.9127331337785,unidades,conteo,total
2017,08,Biobío,empresas_constituidas,unidades,False,7921.0,182.3854478471103,unidades,conteo,total
2018,08,Biobío,empresas_constituidas,unidades,False,8636.0,198.8487220815105,unidades,conteo,total
2019,08,Biobío,empresas_constituidas,unidades,False,7913.0,182.20124338015196,unidades,conteo,total
2020,08,Biobío,empresas_constituidas,unidades,False,9457.0,217.75270550310844,unidades,conteo,total
2021,08,Biobío,empresas_constituidas,unidades,False,12664.0,291.59567119502645,unidades,conteo,total
2022,08,Biobío,empresas_constituidas,unidades,False,10632.0,244.80773658761225,unidades,conteo,total
2023,08,Biobío,empresas_constituidas,unidades,False,10898.0,250.9325351139765,unidades,conteo,total
2024,08,Biobío,empresas_constituidas,unidades,False,12363.0,284.66497812571953,unidades,conteo,total
2025,08,Biobío,empresas_constituidas,unidades,False,15004.0,345.4754777803362,unidades,conteo,total
2014,09,La Araucanía,empresas_constituidas,unidades,False,2496.0,100.0,unidades,conteo,total
2015,09,La Araucanía,empresas_constituidas,unidades,False,3047.0,122.07532051282051,unidades,conteo,total
2016,09,La Araucanía,empresas_constituidas,unidades,False,3525.0,141.22596153846155,unidades,conteo,total
2017,09,La Araucanía,empresas_constituidas,unidades,False,4162.0,166.74679487179486,unidades,conteo,total
2018,09,La Araucanía,empresas_constituidas,unidades,False,4738.0,189.82371794871796,unidades,conteo,total
2019,09,La Araucanía,empresas_constituidas,unidades,False,5159.0,206.69070512820514,unidades,conteo,total
2020,09,La Araucanía,empresas_constituidas,unidades,False,6282.0,251.68269230769232,unidades,conteo,total
2021,09,La Araucanía,empresas_constituidas,unidades,False,8048.0,322.43589743589746,unidades,conteo,total
2022,09,La Araucanía,empresas_constituidas,unidades,False,7403.0,296.59455128205127,unidades,conteo,total
2023,09,La Araucanía,empresas_constituidas,unidades,False,7633.0,305.80929487179486,unidades,conteo,total
2024,09,La Araucanía,empresas_constituidas,unidades,False,8392.0,336.21794871794873,unidades,conteo,total
2025,09,La Araucanía,empresas_constituidas,unidades,False,10389.0,416.22596153846155,unidades,conteo,total
2014,10,Los Lagos,empresas_constituidas,unidades,False,2748.0,100.0,unidades,conteo,total
2015,10,Los Lagos,empresas_constituidas,unidades,False,3348.0,121.83406113537117,unidades,conteo,total
2016,10,Los Lagos,empresas_constituidas,unidades,False,3722.0,135.44395924308589,unidades,conteo,total
2017,10,Los Lagos,empresas_constituidas,unidades,False,4209.0,153.16593886462883,unidades,conteo,total
2018,10,Los Lagos,empresas_constituidas,unidades,False,4905.0,178.4934497816594,unidades,conteo,total
2019,10,Los Lagos,empresas_constituidas,unidades,False,5289.0,192.46724890829694,unidades,conteo,total
2020,10,Los Lagos,empresas_constituidas,unidades,False,6725.0,244.72343522561863,unidades,conteo,total
2021,10,Los Lagos,empresas_constituidas,unidades,False,8441.0,307.16885007278023,unidades,conteo,total
2022,10,Los Lagos,empresas_constituidas,unidades,False,7441.0,270.7787481804949,unidades,conteo,total
2023,10,Los Lagos,empresas_constituidas,unidades,False,7398.0,269.2139737991266,unidades,conteo,total
2024,10,Los Lagos,empresas_constituidas,unidades,False,8281.0,301.3464337700145,unidades,conteo,total
2025,10,Los Lagos,empresas_constituidas,unidades,False,10302.0,374.89082969432314,unidades,conteo,total
2014,11,Aysén,empresas_constituidas,unidades,False,555.0,100.0,unidades,conteo,total
2015,11,Aysén,empresas_constituidas,unidades,False,583.0,105.04504504504504,unidades,conteo,total
2016,11,Aysén,empresas_constituidas,unidades,False,651.0,117.29729729729729,unidades,conteo,total
2017,11,Aysén,empresas_constituidas,unidades,False,681.0,122.70270270270271,unidades,conteo,total
2018,11,Aysén,empresas_constituidas,unidades,False,739.0,133.15315315315314,unidades,conteo,total
2019,11,Aysén,empresas_constituidas,unidades,False,890.0,160.36036036036037,unidades,conteo,total
2020,11,Aysén,empresas_constituidas,unidades,False,895.0,161.26126126126127,unidades,conteo,total
2021,11,Aysén,empresas_constituidas,unidades,False,1252.0,225.5855855855856,unidades,conteo,total
2022,11,Aysén,empresas_constituidas,unidades,False,1209.0,217.83783783783784,unidades,conteo,total
2023,11,Aysén,empresas_constituidas,unidades,False,1140.0,205.40540540540542,unidades,conteo,total
2024,11,Aysén,empresas_constituidas,unidades,False,1426.0,256.93693693693695,unidades,conteo,total
2025,11,Aysén,empresas_constituidas,unidades,False,1433.0,258.1981981981982,unidades,conteo,total
2014,12,Magallanes,empresas_constituidas,unidades,False,649.0,100.0,unidades,conteo,total
2015,12,Magallanes,empresas_constituidas,unidades,False,726.0,111.86440677966101,unidades,conteo,total
2016,12,Magallanes,empresas_constituidas,unidades,False,910.0,140.21571648690292,unidades,conteo,total
2017,12,Magallanes,empresas_constituidas,unidades,False,1028.0,158.3975346687211,unidades,conteo,total
2018,12,Magallanes,empresas_constituidas,unidades,False,1189.0,183.20493066255779,unidades,conteo,total
2019,12,Magallanes,empresas_constituidas,unidades,False,1280.0,197.22650231124808,unidades,conteo,total
2020,12,Magallanes,empresas_constituidas,unidades,False,1502.0,231.43297380585517,unidades,conteo,total
2021,12,Magallanes,empresas_constituidas,unidades,False,2046.0,315.2542372881356,unidades,conteo,total
2022,12,Magallanes,empresas_constituidas,unidades,False,1486.0,228.96764252696457,unidades,conteo,total
2023,12,Magallanes,empresas_constituidas,unidades,False,1478.0,227.73497688751925,unidades,conteo,total
2024,12,Magallanes,empresas_constituidas,unidades,False,1579.0,243.29738058551618,unidades,conteo,total
2025,12,Magallanes,empresas_constituidas,unidades,False,1961.0,302.15716486902926,unidades,conteo,total
2014,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,23878.0,100.0,unidades,conteo,total
2015,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,30515.0,127.79546025630287,unidades,conteo,total
2016,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,35153.0,147.21919758773765,unidades,conteo,total
2017,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,39716.0,166.3288382611609,unidades,conteo,total
2018,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,47089.0,197.2066337214172,unidades,conteo,total
2019,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,50064.0,209.6658011558757,unidades,conteo,total
2020,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,63106.0,264.2851160063657,unidades,conteo,total
2021,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,77479.0,324.4785995477008,unidades,conteo,total
2022,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,64987.0,272.1626601892956,unidades,conteo,total
2023,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,66428.0,278.1975039785577,unidades,conteo,total
2024,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,73653.0,308.45548203367116,unidades,conteo,total
2025,13,Metropolitana de Santiago,empresas_constituidas,unidades,False,89715.0,375.7224223134266,unidades,conteo,total
2014,14,Los Ríos,empresas_constituidas,unidades,False,1088.0,100.0,unidades,conteo,total
2015,14,Los Ríos,empresas_constituidas,unidades,False,1330.0,122.24264705882354,unidades,conteo,total
2016,14,Los Ríos,empresas_constituidas,unidades,False,1404.0,129.0441176470588,unidades,conteo,total
2017,14,Los Ríos,empresas_constituidas,unidades,False,1717.0,157.8125,unidades,conteo,total
2018,14,Los Ríos,empresas_constituidas,unidades,False,2000.0,183.8235294117647,unidades,conteo,total
2019,14,Los Ríos,empresas_constituidas,unidades,False,2092.0,192.27941176470588,unidades,conteo,total
2020,14,Los Ríos,empresas_constituidas,unidades,False,2535.0,232.99632352941177,unidades,conteo,total
2021,14,Los Ríos,empresas_constituidas,unidades,False,3543.0,325.64338235294116,unidades,conteo,total
2022,14,Los Ríos,empresas_constituidas,unidades,False,2906.0,267.09558823529414,unidades,conteo,total
2023,14,Los Ríos,empresas_constituidas,unidades,False,3025.0,278.03308823529414,unidades,conteo,total
2024,14,Los Ríos,empresas_constituidas,unidades,False,3346.0,307.5367647058824,unidades,conteo,total
2025,14,Los Ríos,empresas_constituidas,unidades,False,4310.0,396.1397058823529,unidades,conteo,total
2014,15,Arica y Parinacota,empresas_constituidas,unidades,False,611.0,100.0,unidades,conteo,total
2015,15,Arica y Parinacota,empresas_constituidas,unidades,False,740.0,121.11292962356792,unidades,conteo,total
2016,15,Arica y Parinacota,empresas_constituidas,unidades,False,841.0,137.64320785597383,unidades,conteo,total
2017,15,Arica y Parinacota,empresas_constituidas,unidades,False,937.0,153.35515548281506,unidades,conteo,total
2018,15,Arica y Parinacota,empresas_constituidas,unidades,False,1053.0,172.3404255319149,unidades,conteo,total
2019,15,Arica y Parinacota,empresas_constituidas,unidades,False,1129.0,184.77905073649754,unidades,conteo,total
2020,15,Arica y Parinacota,empresas_constituidas,unidades,False,1379.0,225.69558101472995,unidades,conteo,total
2021,15,Arica y Parinacota,empresas_constituidas,unidades,False,1796.0,293.94435351882163,unidades,conteo,total
2022,15,Arica y Parinacota,empresas_constituidas,unidades,False,1490.0,243.86252045826515,unidades,conteo,total
2023,15,Arica y Parinacota,empresas_constituidas,unidades,False,1465.0,239.7708674304419,unidades,conteo,total
2024,15,Arica y Parinacota,empresas_constituidas,unidades,False,1463.0,239.44353518821603,unidades,conteo,total
2025,15,Arica y Parinacota,empresas_constituidas,unidades,False,1873.0,306.5466448445172,unidades,conteo,total
2018,16,Ñuble,empresas_constituidas,unidades,False,638.0,,unidades,conteo,total
2019,16,Ñuble,empresas_constituidas,unidades,False,2326.0,,unidades,conteo,total
2020,16,Ñuble,empresas_constituidas,unidades,False,2618.0,,unidades,conteo,total
2021,16,Ñuble,empresas_constituidas,unidades,False,3575.0,,unidades,conteo,total
2022,16,Ñuble,empresas_constituidas,unidades,False,3075.0,,unidades,conteo,total
2023,16,Ñuble,empresas_constituidas,unidades,False,3141.0,,unidades,conteo,total
2024,16,Ñuble,empresas_constituidas,unidades,False,3535.0,,unidades,conteo,total
2025,16,Ñuble,empresas_constituidas,unidades,False,4518.0,,unidades,conteo,total
2014,01,Tarapacá,superficie_habitacional,m2,True,237885.0,100.0,m2,superficie,total
2015,01,Tarapacá,superficie_habitacional,m2,True,398140.0,167.36658469428505,m2,superficie,total
2016,01,Tarapacá,superficie_habitacional,m2,True,249084.0,104.7077369317107,m2,superficie,total
2017,01,Tarapacá,superficie_habitacional,m2,True,120624.0,50.70685415221641,m2,superficie,total
2018,01,Tarapacá,superficie_habitacional,m2,True,172771.0,72.62795048027408,m2,superficie,total
2019,01,Tarapacá,superficie_habitacional,m2,True,143572.0,60.35353216890514,m2,superficie,total
2020,01,Tarapacá,superficie_habitacional,m2,True,241527.0,101.53099186581751,m2,superficie,total
2021,01,Tarapacá,superficie_habitacional,m2,True,246854.0,103.77030918300859,m2,superficie,total
2022,01,Tarapacá,superficie_habitacional,m2,True,162646.0,68.37169220421632,m2,superficie,total
2023,01,Tarapacá,superficie_habitacional,m2,True,127130.0,53.4417890997751,m2,superficie,total
2024,01,Tarapacá,superficie_habitacional,m2,True,203562.0,85.57159972255502,m2,superficie,total
2025,01,Tarapacá,superficie_habitacional,m2,True,147531.0,62.0177817012422,m2,superficie,total
2014,02,Antofagasta,superficie_habitacional,m2,True,623781.0,100.0,m2,superficie,total
2015,02,Antofagasta,superficie_habitacional,m2,True,363851.0,58.32992668901425,m2,superficie,total
2016,02,Antofagasta,superficie_habitacional,m2,True,170642.0,27.356075289244142,m2,superficie,total
2017,02,Antofagasta,superficie_habitacional,m2,True,245445.0,39.347944230427025,m2,superficie,total
2018,02,Antofagasta,superficie_habitacional,m2,True,241427.0,38.7038079069417,m2,superficie,total
2019,02,Antofagasta,superficie_habitacional,m2,True,542482.0,86.96673992955861,m2,superficie,total
2020,02,Antofagasta,superficie_habitacional,m2,True,177272.0,28.41894831679708,m2,superficie,total
2021,02,Antofagasta,superficie_habitacional,m2,True,462425.0,74.13258820002532,m2,superficie,total
2022,02,Antofagasta,superficie_habitacional,m2,True,361645.0,57.976276930525295,m2,superficie,total
2023,02,Antofagasta,superficie_habitacional,m2,True,225749.0,36.19042580649298,m2,superficie,total
2024,02,Antofagasta,superficie_habitacional,m2,True,214467.0,34.381778220240754,m2,superficie,total
2025,02,Antofagasta,superficie_habitacional,m2,True,211805.0,33.955025882481195,m2,superficie,total
2014,03,Atacama,superficie_habitacional,m2,True,117729.0,100.0,m2,superficie,total
2015,03,Atacama,superficie_habitacional,m2,True,204607.0,173.79490185086087,m2,superficie,total
2016,03,Atacama,superficie_habitacional,m2,True,57577.0,48.90638670166229,m2,superficie,total
2017,03,Atacama,superficie_habitacional,m2,True,156733.0,133.13032472882637,m2,superficie,total
2018,03,Atacama,superficie_habitacional,m2,True,114604.0,97.34559879044245,m2,superficie,total
2019,03,Atacama,superficie_habitacional,m2,True,96846.0,82.26180465305914,m2,superficie,total
2020,03,Atacama,superficie_habitacional,m2,True,120450.0,102.31124022118594,m2,superficie,total
2021,03,Atacama,superficie_habitacional,m2,True,159992.0,135.89854666224974,m2,superficie,total
2022,03,Atacama,superficie_habitacional,m2,True,123573.0,104.96394261396937,m2,superficie,total
2023,03,Atacama,superficie_habitacional,m2,True,100291.0,85.18801654647538,m2,superficie,total
2024,03,Atacama,superficie_habitacional,m2,True,160103.0,135.99283099321323,m2,superficie,total
2025,03,Atacama,superficie_habitacional,m2,True,75334.0,63.989331430658545,m2,superficie,total
2014,04,Coquimbo,superficie_habitacional,m2,True,636665.0,100.0,m2,superficie,total
2015,04,Coquimbo,superficie_habitacional,m2,True,618939.0,97.215804229854,m2,superficie,total
2016,04,Coquimbo,superficie_habitacional,m2,True,486473.0,76.40957175280563,m2,superficie,total
2017,04,Coquimbo,superficie_habitacional,m2,True,617447.0,96.98145806664415,m2,superficie,total
2018,04,Coquimbo,superficie_habitacional,m2,True,510507.0,80.18455545695146,m2,superficie,total
2019,04,Coquimbo,superficie_habitacional,m2,True,611152.0,95.99271202280634,m2,superficie,total
2020,04,Coquimbo,superficie_habitacional,m2,True,474412.0,74.51516888787667,m2,superficie,total
2021,04,Coquimbo,superficie_habitacional,m2,True,499511.0,78.45743051683381,m2,superficie,total
2022,04,Coquimbo,superficie_habitacional,m2,True,500402.0,78.59737852716891,m2,superficie,total
2023,04,Coquimbo,superficie_habitacional,m2,True,443365.0,69.63866397556015,m2,superficie,total
2024,04,Coquimbo,superficie_habitacional,m2,True,410153.0,64.42210581703094,m2,superficie,total
2025,04,Coquimbo,superficie_habitacional,m2,True,269897.0,42.3923099275129,m2,superficie,total
2014,05,Valparaíso,superficie_habitacional,m2,True,1424300.0,100.0,m2,superficie,total
2015,05,Valparaíso,superficie_habitacional,m2,True,1986249.0,139.4543986519694,m2,superficie,total
2016,05,Valparaíso,superficie_habitacional,m2,True,1311923.0,92.11001895668048,m2,superficie,total
2017,05,Valparaíso,superficie_habitacional,m2,True,1379382.0,96.84631046830022,m2,superficie,total
2018,05,Valparaíso,superficie_habitacional,m2,True,1658666.0,116.4548199115355,m2,superficie,total
2019,05,Valparaíso,superficie_habitacional,m2,True,1285123.0,90.22839289475532,m2,superficie,total
2020,05,Valparaíso,superficie_habitacional,m2,True,1037584.0,72.84869760584147,m2,superficie,total
2021,05,Valparaíso,superficie_habitacional,m2,True,955953.0,67.11739099908728,m2,superficie,total
2022,05,Valparaíso,superficie_habitacional,m2,True,747513.0,52.482833672681316,m2,superficie,total
2023,05,Valparaíso,superficie_habitacional,m2,True,723510.0,50.797584778487675,m2,superficie,total
2024,05,Valparaíso,superficie_habitacional,m2,True,747722.0,52.497507547567224,m2,superficie,total
2025,05,Valparaíso,superficie_habitacional,m2,True,760359.0,53.38475040370709,m2,superficie,total
2014,06,O'Higgins,superficie_habitacional,m2,True,620467.0,100.0,m2,superficie,total
2015,06,O'Higgins,superficie_habitacional,m2,True,654231.0,105.44170761700461,m2,superficie,total
2016,06,O'Higgins,superficie_habitacional,m2,True,370528.0,59.71759980788664,m2,superficie,total
2017,06,O'Higgins,superficie_habitacional,m2,True,606366.0,97.72735697466585,m2,superficie,total
2018,06,O'Higgins,superficie_habitacional,m2,True,537208.0,86.58123639129882,m2,superficie,total
2019,06,O'Higgins,superficie_habitacional,m2,True,626614.0,100.99070538803836,m2,superficie,total
2020,06,O'Higgins,superficie_habitacional,m2,True,473538.0,76.3196108737451,m2,superficie,total
2021,06,O'Higgins,superficie_habitacional,m2,True,535383.0,86.28710310137365,m2,superficie,total
2022,06,O'Higgins,superficie_habitacional,m2,True,474424.0,76.46240654216905,m2,superficie,total
2023,06,O'Higgins,superficie_habitacional,m2,True,451204.0,72.72006408076497,m2,superficie,total
2024,06,O'Higgins,superficie_habitacional,m2,True,517388.0,83.38686827824849,m2,superficie,total
2025,06,O'Higgins,superficie_habitacional,m2,True,548225.0,88.35683444889092,m2,superficie,total
2014,07,Maule,superficie_habitacional,m2,True,739259.0,100.0,m2,superficie,total
2015,07,Maule,superficie_habitacional,m2,True,764748.0,103.44791203083088,m2,superficie,total
2016,07,Maule,superficie_habitacional,m2,True,577202.0,78.07845423593085,m2,superficie,total
2017,07,Maule,superficie_habitacional,m2,True,629493.0,85.15188858032165,m2,superficie,total
2018,07,Maule,superficie_habitacional,m2,True,911585.0,123.31063943759901,m2,superficie,total
2019,07,Maule,superficie_habitacional,m2,True,994115.0,134.47452110829897,m2,superficie,total
2020,07,Maule,superficie_habitacional,m2,True,835521.0,113.02141739228065,m2,superficie,total
2021,07,Maule,superficie_habitacional,m2,True,632104.0,85.50508008695193,m2,superficie,total
2022,07,Maule,superficie_habitacional,m2,True,601839.0,81.41111572534119,m2,superficie,total
2023,07,Maule,superficie_habitacional,m2,True,699646.0,94.64152617688794,m2,superficie,total
2024,07,Maule,superficie_habitacional,m2,True,533487.0,72.16510045870257,m2,superficie,total
2025,07,Maule,superficie_habitacional,m2,True,593549.0,80.28972254649588,m2,superficie,total
2014,08,Biobío,superficie_habitacional,m2,True,1531512.0,100.0,m2,superficie,total
2015,08,Biobío,superficie_habitacional,m2,True,1685638.0,110.06364951760091,m2,superficie,total
2016,08,Biobío,superficie_habitacional,m2,True,1127826.0,73.64134267312303,m2,superficie,total
2017,08,Biobío,superficie_habitacional,m2,True,1419656.0,92.69636803368175,m2,superficie,total
2018,08,Biobío,superficie_habitacional,m2,True,1458227.0,95.21485956362079,m2,superficie,total
2019,08,Biobío,superficie_habitacional,m2,True,1235470.0,80.66995230856827,m2,superficie,total
2020,08,Biobío,superficie_habitacional,m2,True,949388.0,61.990242322619736,m2,superficie,total
2021,08,Biobío,superficie_habitacional,m2,True,1038723.0,67.82336671211195,m2,superficie,total
2022,08,Biobío,superficie_habitacional,m2,True,1131704.0,73.89455649057925,m2,superficie,total
2023,08,Biobío,superficie_habitacional,m2,True,675661.0,44.117251448242,m2,superficie,total
2024,08,Biobío,superficie_habitacional,m2,True,730768.0,47.715460277164006,m2,superficie,total
2025,08,Biobío,superficie_habitacional,m2,True,480392.0,31.367171788402572,m2,superficie,total
2014,09,La Araucanía,superficie_habitacional,m2,True,610611.0,100.0,m2,superficie,total
2015,09,La Araucanía,superficie_habitacional,m2,True,828672.0,135.71193443943852,m2,superficie,total
2016,09,La Araucanía,superficie_habitacional,m2,True,539900.0,88.4196321389559,m2,superficie,total
