anio,region_id,region_display,indicador,unidad,eje_espacial,valor,indice_base100,unidad_original,dimension,agregacion
2014,01,Tarapacá,empresas_constituidas,unidades,False,898.0,100.0,unidades,conteo,total
2015,01,Tarapacá,empresas_constituidas,unidades,False,1188.0,132.29398663697106,unidades,conteo,total
2016,01,Tarapacá,empresas_constituidas,unidades,False,1544.0,171.93763919821825,unidades,conteo,total
2017,01,Tarapacá,empresas_constituidas,unidades,False,1920.0,213.8084632516704,unidades,conteo,total
2018,01,Tarapacá,empresas_constituidas,unidades,False,2168.0,241.42538975501114,unidades,conteo,total
2019,01,Tarapacá,empresas_constituidas,unidades,False,2238.0,249.22048997772828,unidades,conteo,total
2020,01,Tarapacá,empresas_constituidas,unidades,False,2562.0,285.30066815144767,unidades,conteo,total
2021,01,Tarapacá,empresas_constituidas,unidades,False,3155.0,351.33630289532294,unidades,conteo,total
2022,01,Tarapacá,empresas_constituidas,unidades,False,2855.0,317.92873051224944,unidades,conteo,total
2023,01,Tarapacá,empresas_constituidas,unidades,False,2923.0,325.5011135857461,unidades,conteo,total
2024,01,Tarapacá,empresas_constituidas,unidades,False,3166.0,352.5612472160356,unidades,conteo,total
2025,01,Tarapacá,empresas_constituidas,unidades,False,3877.0,431.73719376391983,unidades,conteo,total
2014,02,Antofagasta,empresas_constituidas,unidades,False,1864.0,100.0,unidades,conteo,total
2015,02,Antofagasta,empresas_constituidas,unidades,False,2445.0,131.1695278969957,unidades,conteo,total
2016,02,Antofagasta,empresas_constituidas,unidades,False,3049.0,163.57296137339057,unidades,conteo,total
2017,02,Antofagasta,empresas_constituidas,unidades,False,3560.0,190.9871244635193,unidades,conteo,total
2018,02,Antofagasta,empresas_constituidas,unidades,False,3710.0,199.0343347639485,unidades,conteo,total
2019,02,Antofagasta,empresas_constituidas,unidades,False,3858.0,206.97424892703862,unidades,conteo,total
2020,02,Antofagasta,empresas_constituidas,unidades,False,4723.0,253.37982832618025,unidades,conteo,total
2021,02,Antofagasta,empresas_constituidas,unidades,False,5598.0,300.3218884120172,unidades,conteo,total
2022,02,Antofagasta,empresas_constituidas,unidades,False,4758.0,255.25751072961373,unidades,conteo,total
2023,02,Antofagasta,empresas_constituidas,unidades,False,4852.0,260.30042918454933,unidades,conteo,total
2024,02,Antofagasta,empresas_constituidas,unidades,False,5314.0,285.08583690987126,unidades,conteo,total
2025,02,Antofagasta,empresas_constituidas,unidades,False,6439.0,345.4399141630901,unidades,conteo,total
2014,03,Atacama,empresas_constituidas,unidades,False,858.0,100.0,unidades,conteo,total
2015,03,Atacama,empresas_constituidas,unidades,False,870.0,101.3986013986014,unidades,conteo,total
2016,03,Atacama,empresas_constituidas,unidades,False,1031.0,120.16317016317016,unidades,conteo,total
2017,03,Atacama,empresas_constituidas,unidades,False,1014.0,118.18181818181819,unidades,conteo,total
2018,03,Atacama,empresas_constituidas,unidades,False,1306.0,152.21445221445222,unidades,conteo,total
2019,03,Atacama,empresas_constituidas,unidades,False,1343.0,156.52680652680652,unidades,conteo,total
