anio,indicador,medida,unidad,valor,unidad_original,dimension,agregacion
2009,concentracion_rm_cuentas,tasa,%,57.638505735317146,% de las cuentas del país,tasa,promedio
2010,concentracion_rm_cuentas,tasa,%,58.293357726310866,% de las cuentas del país,tasa,promedio
2011,concentracion_rm_cuentas,tasa,%,59.70677431882402,% de las cuentas del país,tasa,promedio
2012,concentracion_rm_cuentas,tasa,%,60.05479662226114,% de las cuentas del país,tasa,promedio
2013,concentracion_rm_cuentas,tasa,%,59.83381384439919,% de las cuentas del país,tasa,promedio
2014,concentracion_rm_cuentas,tasa,%,59.84351746873493,% de las cuentas del país,tasa,promedio
2015,concentracion_rm_cuentas,tasa,%,59.94834561396665,% de las cuentas del país,tasa,promedio
2016,concentracion_rm_cuentas,tasa,%,60.3428431146391,% de las cuentas del país,tasa,promedio
2017,concentracion_rm_cuentas,tasa,%,60.612555940898915,% de las cuentas del país,tasa,promedio
2018,concentracion_rm_cuentas,tasa,%,60.3726217749167,% de las cuentas del país,tasa,promedio
2019,concentracion_rm_cuentas,tasa,%,61.12013314205368,% de las cuentas del país,tasa,promedio
2020,concentracion_rm_cuentas,tasa,%,61.717146296342165,% de las cuentas del país,tasa,promedio
2021,concentracion_rm_cuentas,tasa,%,66.09702095931418,% de las cuentas del país,tasa,promedio
2022,concentracion_rm_cuentas,tasa,%,72.38038399450906,% de las cuentas del país,tasa,promedio
2023,concentracion_rm_cuentas,tasa,%,75.97402080212943,% de las cuentas del país,tasa,promedio
2024,concentracion_rm_cuentas,tasa,%,78.56247912776847,% de las cuentas del país,tasa,promedio
2025,concentracion_rm_cuentas,tasa,%,80.52792000773006,% de las cuentas del país,tasa,promedio
2009,cuentas_corrientes,stock,unidades,2015588.9166666665,número de cuentas de personas naturales,conteo,total
2010,cuentas_corrientes,stock,unidades,2132672.0833333335,número de cuentas de personas naturales,conteo,total
2011,cuentas_corrientes,stock,unidades,2348799.5,número de cuentas de personas naturales,conteo,total
2012,cuentas_corrientes,stock,unidades,2554993.25,número de cuentas de personas naturales,conteo,total
