Region,Administración pública,Agropecuario-silvícola,Comercio,Construcción,"Electricidad, gas, agua y gestión de desechos",Industria,Minería,Pesca,Restaurantes y hoteles,Servicios de vivienda e inmobiliarios,Servicios financieros y empresariales,Servicios personales,"Transporte, información y comunicaciones"
Antofagasta,0.23519160618628385,0.004256366874506912,0.22781244591359343,1.2628393982997097,1.2976384094134996,0.2632949709029908,4.462615963034512,0.0778645713591299,0.507383013007923,0.2548688777517528,0.38980412432804185,0.26626883443804833,0.42223142723041507
La Araucanía,1.6163783287109832,2.419394855949053,0.9620143305511336,1.282579586914741,1.1975809683538665,0.8256699731306286,0.024952209041904292,0.07000423517945273,1.096721787986059,1.4829261487915761,0.6048315844043569,1.6801899382151038,0.8381695334460145
Arica y Parinacota,2.608534142067205,1.0897156084522452,0.6674860682499625,2.122657115511837,0.6410810779569169,0.8325808923941513,0.23462579320815213,2.068012369426094,1.8270964340223372,1.2049266770777591,0.6889280428800771,1.2636094518649568,0.7847660596052412
Atacama,0.49939625661293574,0.2879616582426316,0.2826378528432996,1.00333367291225,2.11618406320903,0.1835763614365586,3.9515176976013042,0.16685241773375195,0.6036009890255452,0.44400004910575686,0.4418248858064436,0.38658903509116016,0.4060422883528973
Aysén,3.323302750045363,0.5557424973947405,0.48167685701243534,0.7784941418709455,0.5210204863540114,0.5996017544994917,0.2643953090281536,46.42125447004178,0.7833993892958955,0.8055039036262275,0.3189198165875038,1.0645230982801557,0.6751758823950363
Biobío,1.1269868163301513,1.0825184149081155,0.6964513733183292,1.065171392092464,1.8931833633621762,1.9515869392071485,0.030064816146911165,2.2572941842861276,0.8771785883977999,1.253053768365436,0.7736235193663363,1.3271576255700963,0.8545464888789422
Coquimbo,0.7803753756056805,1.403425578693135,0.6432090273188347,1.5770923461832271,0.8490165623146599,0.42303985925455867,1.6250792055913974,0.32287275616177874,1.4036802505923676,1.0976935525427411,0.8594047877407305,0.977087043978782,0.6935253906436661
Los Lagos,1.1884883641294715,1.7647109302838717,0.9341245059901416,0.8231217734547888,0.6805701892148247,2.125377572617056,0.013991511894711138,10.411901321616732,0.9497069813196752,1.0622918764748837,0.6486581761759787,1.2353241476637018,0.8423343596997825
Los Ríos,1.483524837176062,3.461563719981853,0.6934525363620053,0.9720434599930678,0.9497818381871618,1.998406093315755,0.015356130440460221,1.1153090733726474,0.9404203633873449,1.209343257682693,0.5244214852207034,1.3427223536871007,0.7232990490131213
Magallanes,2.6564994278084475,0.5451843607153355,0.5623155228788956,1.2885633338988804,0.9165072716273466,1.5117419420106786,0.34958156063856094,8.490134289023604,1.5497950447200743,1.038580726870798,0.6602768203589394,0.9674427939859157,0.9329013722398483
Maule,0.9740010174782161,4.658025544411455,0.9529839011926513,1.111436963633463,1.7124801987101195,1.3653978835364453,0.02444828316918296,0.13740002070481735,0.8082130473767638,1.348987436200723,0.5694532120669407,1.1874563155257587,0.71187024042416
Metropolitana de Santiago,1.055465331773794,0.2912055941153667,1.491512193860706,0.7459514287830156,0.5941783168697545,1.0748749831044526,0.07385743544814077,0.0,1.1584971718247765,1.0865981208251205,1.546972084418512,1.1338537275367082,1.377053827939067
Ñuble,1.2566177315506823,3.390484120624863,0.8169312676056858,1.2042508842115767,0.9767462633915212,1.468342827684434,0.02742210130442758,0.014363350378678945,1.0098499450117402,1.4133907769908536,0.598533092263148,1.404117769073514,0.7859212390381561
O'Higgins,0.6959866924953162,4.323671565330155,0.9269138102360789,0.9768141816677098,1.2220597423130166,0.9623905890908968,1.2118141409425967,0.058026823508840024,0.7827456663626167,1.0191621827712962,0.6092150491127649,0.9057594463342346,0.5324748811277118
Tarapacá,0.9427122075366439,0.014886360930123873,0.8147426205065116,2.045998908687703,0.3542103159576889,0.6683431334003408,2.7262477567566115,0.5846230250765242,0.8728843022983088,0.5550034192127098,0.4756670405875995,0.5850789046453732,0.6095091583172604
Valparaíso,1.3406806412953562,1.2183924282165097,0.7887117943499369,0.9304257919651724,1.4631325706126244,0.9032420320688705,0.597394242669603,0.0821203711941591,1.1661156514997462,1.378875807167242,0.8582507695092393,1.08481695505707,1.3191364351015304
