Year,Gini Coefficient,Theil Index,HHI (Output Concentration)
2013,0.18933091304599886,0.07645302141898822,0.24189630495785172
2015,0.1858429764082857,0.07439079318232655,0.24255771784454827
2017,0.17120337425313495,0.060389062459383996,0.24376262236291926
2019,0.16176166781940152,0.056486822863965946,0.24189200629093144
2021,0.14849894409336012,0.04691129934164738,0.2423510652165946
2023,0.1445024624098903,0.045232351338290726,0.2398964896691885
2025,0.14762991904386027,0.04960259970056225,0.23639114684998405
