CAPÍTULO,NOMBRE CUADRO,CÓDIGO,NOMBRE DE LA SERIE,Frecuencia,Region_Id,Region_Name,Sector_Id,Sector_Name,Dominio,Unidad_Medida
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.15.0.T,Región de Arica y Parinacota,T,15,Arica y Parinacota,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.01.0.T,Región de Tarapacá,T,01,Tarapacá,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.02.0.T,Región de Antofagasta,T,02,Antofagasta,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.03.0.T,Región de Atacama,T,03,Atacama,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.04.0.T,Región de Coquimbo,T,04,Coquimbo,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.05.0.T,Región de Valparaíso,T,05,Valparaíso,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.13.0.T,Región Metropolitana de Santiago,T,13,Metropolitana de Santiago,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.06.0.T,Región del Libertador General Bernardo OHiggins,T,06,O'Higgins,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.07.0.T,Región del Maule,T,07,Maule,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.16.0.T,Región de Ñuble,T,16,Ñuble,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.08.0.T,Región del Biobío,T,08,Biobío,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.09.0.T,Región de La Araucanía,T,09,La Araucanía,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.14.0.T,Región de Los Ríos,T,14,Los Ríos,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.10.0.T,Región de Los Lagos,T,10,Los Lagos,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.11.0.T,Región de Aysén del General Carlos Ibáñez del Campo,T,11,Aysén,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.12.0.T,Región de Magallanes y de la Antártica Chilena,T,12,Magallanes,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PCF.FLU.R.CLP.2018.Z.Z.Z.Z.0.T,Subtotal regionalizado,T,Nacional,Total Nacional,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.Z.Z.Z.99.0.T,Extrarregional,T,Nacional,Total Nacional,Z,Total regional (sin desglose sectorial),Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"Producto interno bruto trimestral por región, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F032.PIB.FLU.R.CLP.EP18.Z.Z.0.T,Producto Interno Bruto,T,UNKNOWN,No Especificado,UNKNOWN,No Especificado,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región  de Arica y Parinacota, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.15.0.T,Producción de bienes,T,15,Arica y Parinacota,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región  de Arica y Parinacota, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.15.0.T,Minería,T,15,Arica y Parinacota,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región  de Arica y Parinacota, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.15.0.T,Industria manufacturera,T,15,Arica y Parinacota,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región  de Arica y Parinacota, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.15.0.T,Resto de bienes,T,15,Arica y Parinacota,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región  de Arica y Parinacota, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.15.0.T,Comercio,T,15,Arica y Parinacota,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región  de Arica y Parinacota, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.15.0.T,Servicios,T,15,Arica y Parinacota,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Tarapacá,  volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.21.Z.01.0.T,Producción de bienes,T,01,Tarapacá,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Tarapacá,  volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.21.Z.01.0.T,Minería,T,01,Tarapacá,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Tarapacá,  volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.21.Z.01.0.T,Industria,T,01,Tarapacá,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Tarapacá,  volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.21.Z.01.0.T,Resto de bienes,T,01,Tarapacá,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Tarapacá,  volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.21.Z.01.0.T,Comercio,T,01,Tarapacá,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Tarapacá,  volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.21.Z.01.0.T,Servicios,T,01,Tarapacá,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
