CAPÍTULO,NOMBRE CUADRO,CÓDIGO,NOMBRE DE LA SERIE,Frecuencia,Region_Id,Region_Name,Sector_Id,Sector_Name,Dominio,Unidad_Medida
Regionales,"PIB por actividad económica, Región de Antofagasta, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.02.0.T,Producción de bienes,T,02,Antofagasta,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Antofagasta, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.02.0.T,Minería,T,02,Antofagasta,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Antofagasta, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.02.0.T,Industria,T,02,Antofagasta,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Antofagasta, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.02.0.T,Resto de bienes,T,02,Antofagasta,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Antofagasta, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.02.0.T,Comercio,T,02,Antofagasta,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Antofagasta, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.02.0.T,Servicios,T,02,Antofagasta,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Atacama, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.03.0.T,Producción de bienes,T,03,Atacama,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Atacama, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.03.0.T,Minería,T,03,Atacama,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Atacama, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.03.0.T,Industria manufacturera,T,03,Atacama,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Atacama, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.03.0.T,Resto de bienes,T,03,Atacama,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Atacama, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.03.0.T,Comercio,T,03,Atacama,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Atacama, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.03.0.T,Servicios,T,03,Atacama,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Coquimbo, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.04.0.T,Producción de bienes,T,04,Coquimbo,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Coquimbo, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.04.0.T,Minería,T,04,Coquimbo,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Coquimbo, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.04.0.T,Industria,T,04,Coquimbo,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Coquimbo, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.04.0.T,Resto de bienes,T,04,Coquimbo,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Coquimbo, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.04.0.T,Comercio,T,04,Coquimbo,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Coquimbo, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.04.0.T,Servicios,T,04,Coquimbo,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB actividad económica, Región de Valparaíso, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.05.0.T,Producción de bienes,T,05,Valparaíso,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB actividad económica, Región de Valparaíso, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.05.0.T,Minería,T,05,Valparaíso,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB actividad económica, Región de Valparaíso, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.05.0.T,Industria,T,05,Valparaíso,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB actividad económica, Región de Valparaíso, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.05.0.T,Resto de bienes,T,05,Valparaíso,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB actividad económica, Región de Valparaíso, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.05.0.T,Comercio,T,05,Valparaíso,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB actividad económica, Región de Valparaíso, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.05.0.T,Servicios,T,05,Valparaíso,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región Metropolitana de Santiago, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.13.0.T,Producción de bienes,T,13,Metropolitana de Santiago,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región Metropolitana de Santiago, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.13.0.T,Minería,T,13,Metropolitana de Santiago,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región Metropolitana de Santiago, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.13.0.T,Industria,T,13,Metropolitana de Santiago,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región Metropolitana de Santiago, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.13.0.T,Resto de bienes,T,13,Metropolitana de Santiago,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región Metropolitana de Santiago, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.13.0.T,Comercio,T,13,Metropolitana de Santiago,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región Metropolitana de Santiago, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.13.0.T,Servicios,T,13,Metropolitana de Santiago,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Libertador General Bernardo O Higgins, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.06.0.T,Producción de bienes,T,06,O'Higgins,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Libertador General Bernardo O Higgins, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.06.0.T,Minería,T,06,O'Higgins,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Libertador General Bernardo O Higgins, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.06.0.T,Industria,T,06,O'Higgins,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Libertador General Bernardo O Higgins, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.06.0.T,Resto de bienes,T,06,O'Higgins,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Libertador General Bernardo O Higgins, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.06.0.T,Comercio,T,06,O'Higgins,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Libertador General Bernardo O Higgins, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.06.0.T,Servicios,T,06,O'Higgins,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Maule, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.07.0.T,Producción de bienes,T,07,Maule,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Maule, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.07.0.T,Minería,T,07,Maule,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Maule, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.07.0.T,Industria,T,07,Maule,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Maule, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.07.0.T,Resto de bienes,T,07,Maule,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Maule, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.07.0.T,Comercio,T,07,Maule,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Maule, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.07.0.T,Servicios,T,07,Maule,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Ñuble, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.16.0.T,Producción de bienes,T,16,Ñuble,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Ñuble, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.16.0.T,Minería,T,16,Ñuble,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Ñuble, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.04.Z.Z.16.0.T,Industria,T,16,Ñuble,04,Industria,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Ñuble, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.RB.Z.Z.16.0.T,Resto de bienes,T,16,Ñuble,RB,Resto de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Ñuble, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.COM.Z.Z.16.0.T,Comercio,T,16,Ñuble,COM,Comercio,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región de Ñuble, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.SERV.Z.Z.16.0.T,Servicios,T,16,Ñuble,SERV,Servicios,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Biobío, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.PB.Z.Z.08.0.T,Producción de bienes,T,08,Biobío,PB,Producción de bienes,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
Regionales,"PIB por actividad económica, Región del Biobío, volumen a precios del año anterior encadenado, series empalmadas, referencia 2018 (miles de millones de pesos encadenados)",F035.PIB.FLU.R.CLP.2018.03.Z.Z.08.0.T,Minería,T,08,Biobío,03,Minería,Cuentas Nacionales (PIB y Consumo),Pesos Chilenos (CLP)
